,players_used,mp,starts,min,90s,ga,ga90,sota,saves,save%,w,d,l,cs,cs%,gpkatt,pka,pksv,pkm,pksave%,psxg,psxg/sot,psxg+/-,/90,gls,sh,sot,sot%,sh/90,sot/90,g/sh,g/sot,dist,fk,pk,pkatt,xg,npxg,npxg/sh,g-xg,np:g-xg,total cmp,total att,total cmp%,total totdist,total prgdist,short cmp,short att,short cmp%,medium cmp,medium att,medium cmp%,long cmp,long att,long cmp%,ast,xag,xa,a-xag,kp,p1/3,ppa,crspa,prgp,patt,plive,dead,pfk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,sca,sca90,sca passlive,sca passdead,sca to,sca sh,sca fld,sca def,gca,gca90,gca passlive,gca passdead,gca to,gca sh,gca fld,gca def,tackles tkl,tackles tklw,tackles def 3rd,tackles mid 3rd,tackles att 3rd,challenges tkl,challenges att,challenges tkl%,challenges lost,blocks blocks,blocks sh,blocks pass,int,tkl+int,clr,err,poss,touches,def pen,def 3rd,mid 3rd,att 3rd,att pen,live,att,succ,succ%,tkld,tkld%,carries,totdist,prgdist,prgc,1/3,cpa,mis,dis,rec,prgr,crdy,crdr,2crdy,fls,fld,tklw,pkwon,pkcon,og,recov,won,lost,won%,opp_players_used,opp_90s,opp_gls,opp_sh,opp_sot,opp_sot%,opp_sh/90,opp_sot/90,opp_g/sh,opp_g/sot,opp_dist,opp_fk,opp_pk,opp_pkatt,opp_xg,opp_npxg,opp_npxg/sh,opp_g-xg,opp_np:g-xg,opp_total cmp,opp_total att,opp_total cmp%,opp_total totdist,opp_total prgdist,opp_short cmp,opp_short att,opp_short cmp%,opp_medium cmp,opp_medium att,opp_medium cmp%,opp_long cmp,opp_long att,opp_long cmp%,opp_ast,opp_xag,opp_xa,opp_a-xag,opp_kp,opp_p1/3,opp_ppa,opp_crspa,opp_prgp,opp_patt,opp_plive,opp_dead,opp_pfk,opp_tb,opp_sw,opp_crs,opp_ti,opp_ck,opp_in,opp_out,opp_str,opp_cmp,opp_off,opp_blocks,opp_poss,opp_touches,opp_def pen,opp_def 3rd,opp_mid 3rd,opp_att 3rd,opp_att pen,opp_live,opp_att,opp_succ,opp_succ%,opp_tkld,opp_tkld%,opp_carries,opp_totdist,opp_prgdist,opp_prgc,opp_1/3,opp_cpa,opp_mis,opp_dis,opp_rec,opp_prgr,tls
Watford,1,38,38,3420,38,59,1.55,180,123,69.4,14,8,16,7,18.4,5,4,1,0,20.0,55.5,0.3,-0.5,-0.01,51,436,148,33.9,11.47,3.89,0.11,0.34,17.3,22,1,1,48.2,47.5,0.11,2.8,2.5,12550,16974,73.9,213157,87312,6240,7278,85.7,4322,5450,79.3,1370,2902,47.2,39,34.8,28.5,4.2,310,944,291,55,1294,16974,15065,1820,483,32,117,570,755,177,84,55,0,12550,89,348,724,19.05,523,56,46,42,46,11,83,2.18,48,8,15,6,4,2,656,391,350,243,63,257,622,41.3,365,404,120,284,428,1084,1022,18,46.7,21508,2252,6504,9887,5303,845,21507,543,292,53.8,251,46.2,11747,56181,28366,588,434,191,586,418,12440,1273,79,4,1,433,382,391,1,5,3,2021,753,797,48.6,25,38,56,486,175,36.0,12.79,4.61,0.11,0.3,16.9,18,4,5,59.2,55.3,0.12,-3.2,-3.3,15141,19586,77.3,264051,97503,7193,8267,87.0,5622,6834,82.3,1704,3104,54.9,38,39.5,37.2,-1.5,351,1200,344,89,1605,19586,17653,1818,491,87,169,741,769,210,92,66,10,15141,115,360,53.3,24096,2196,6862,11288,6170,891,24091,622,365,58.7,257,41.3,13101,69001,35925,762,619,193,544,399,15004,1585,0.4039634146341463
Manchester City,1,38,38,3420,38,23,0.61,81,58,76.5,32,2,4,20,52.6,4,4,0,0,0.0,23.3,0.25,0.3,0.01,91,679,252,37.1,17.87,6.63,0.13,0.35,16.9,21,3,4,84.3,81.3,0.12,6.7,6.7,24678,28389,86.9,395041,113549,12249,13188,92.9,9318,10379,89.8,1907,2834,67.3,71,65.5,63.6,5.5,516,1948,554,62,2429,28389,26660,1631,344,112,226,783,739,298,85,121,1,24678,98,384,1216,32.0,927,71,92,71,44,11,168,4.42,139,6,9,5,8,1,518,327,214,215,89,193,467,41.3,274,319,63,256,362,880,570,15,67.9,32238,1825,6098,16583,9800,1458,32234,734,437,59.5,296,40.3,22457,118990,68197,1325,1017,366,509,393,24519,2412,44,1,0,328,301,327,4,4,0,2000,540,522,50.8,21,38,23,234,77,32.9,6.16,2.03,0.08,0.25,18.3,9,4,4,24.7,21.7,0.1,-1.7,-2.7,9950,13564,73.4,181073,73759,4566,5339,85.5,3733,4587,81.4,1253,2679,46.8,14,17.6,16.3,-3.6,179,610,166,41,802,13564,11859,1643,407,29,129,359,615,82,39,28,6,9950,62,289,32.1,17804,3065,7668,7290,3036,418,17800,468,274,58.5,193,41.2,8569,45354,21716,410,322,83,453,325,9885,799,0.3687258687258687
Bournemouth,3,38,38,3420,38,70,1.84,173,106,62.4,13,6,19,10,26.3,5,5,0,0,0.0,55.2,0.3,-11.8,-0.31,55,437,153,35.0,11.5,4.03,0.11,0.31,17.4,16,7,9,53.3,46.2,0.11,1.7,1.8,13505,17650,76.5,231203,91075,6643,7752,85.7,5284,6436,82.1,1261,2489,50.7,43,38.8,34.0,4.2,330,979,330,76,1435,17650,15632,1961,512,57,84,613,832,191,74,58,2,13505,57,435,788,20.74,558,83,46,39,47,15,99,2.61,64,9,8,6,9,3,525,299,285,185,55,216,494,43.7,278,405,152,253,371,896,1098,21,46.9,22079,2437,7561,9507,5257,847,22071,578,291,50.3,287,49.7,13210,69260,36536,738,532,172,565,356,13405,1422,60,1,0,340,441,299,8,5,3,1910,701,736,48.8,28,38,67,516,168,32.6,13.58,4.42,0.12,0.37,17.9,18,5,5,57.2,53.2,0.11,9.8,8.8,16091,20430,78.8,277973,97717,7637,8629,88.5,6097,7231,84.3,1709,3238,52.8,48,39.0,36.3,9.0,385,1267,350,74,1675,20430,18560,1786,368,72,142,753,793,225,99,80,6,16091,84,340,53.1,24695,2164,6511,11786,6614,916,24690,494,278,56.3,216,43.7,13627,72502,37072,741,582,203,551,309,15971,1652,0.4304761904761904
Newcastle Utd,1,38,38,3420,38,48,1.26,140,93,70.0,12,9,17,11,28.9,6,6,0,0,0.0,42.3,0.27,-4.7,-0.12,41,443,136,30.7,11.66,3.58,0.09,0.29,18.8,16,1,3,39.1,36.7,0.09,1.9,3.3,10774,15231,70.7,197304,79475,4812,5773,83.4,3758,4863,77.3,1584,3269,48.5,33,27.4,23.4,5.6,324,792,255,99,985,15231,13359,1813,389,50,217,711,835,181,73,71,11,10774,59,353,784,20.63,571,77,33,43,42,18,68,1.79,46,5,4,10,2,1,711,433,356,291,64,241,565,42.7,324,472,135,337,506,1217,1204,16,40.4,20048,2360,7025,8767,4458,641,20045,444,236,53.2,207,46.6,8749,46542,23595,467,410,95,590,400,10705,976,57,2,0,423,332,433,2,6,1,2034,785,914,46.2,24,38,47,482,134,27.8,12.68,3.53,0.09,0.31,16.7,31,6,6,53.6,49.2,0.1,-6.6,-8.2,18449,23109,79.8,315246,107717,8766,9981,87.8,7050,8324,84.7,1900,3222,59.0,32,39.5,39.3,-7.5,349,1441,381,96,1868,23109,21078,1968,442,73,163,834,960,231,101,94,16,18449,63,437,59.6,27393,2065,6557,14103,6959,940,27387,565,324,57.3,241,42.7,15185,81384,42957,811,635,164,596,471,18329,1849,0.3909985935302391
Crystal Palace,3,38,38,3420,38,53,1.39,163,110,69.9,14,7,17,12,31.6,5,4,1,0,20.0,46.7,0.26,-5.3,-0.14,48,482,135,28.0,12.68,3.55,0.08,0.28,18.4,16,10,11,47.6,39.2,0.08,0.4,-1.2,12697,16870,75.3,222304,89991,6129,7072,86.7,4802,5866,81.9,1371,2862,47.9,33,29.5,27.1,3.5,358,1003,275,63,1458,16870,14898,1894,435,26,101,577,816,205,89,30,62,12697,78,367,860,22.63,606,72,55,63,50,14,86,2.26,51,6,7,8,13,1,733,446,398,270,65,281,590,47.6,309,441,141,300,445,1178,1011,17,45.2,21679,2323,7079,9743,5112,889,21668,667,377,56.5,290,43.5,10553,62673,32736,771,496,227,576,473,12599,1448,58,2,1,386,391,446,10,5,1,1996,680,706,49.1,26,38,52,520,158,30.4,13.68,4.16,0.09,0.3,18.2,20,4,5,50.1,46.6,0.09,1.9,1.4,16735,20996,79.7,296420,103194,7882,9030,87.3,6305,7413,85.1,1967,3238,60.7,35,35.7,33.7,-0.7,389,1469,331,91,1894,20996,19077,1858,430,54,237,840,818,216,74,114,8,16735,61,397,54.8,25658,2115,6318,12495,7063,865,25653,590,309,52.4,281,47.6,14615,77347,41997,827,662,144,642,452,16640,1879,0.3915416098226466
West Ham,1,38,38,3420,38,55,1.45,198,143,74.2,15,7,16,7,18.4,5,4,1,0,20.0,62.7,0.31,8.7,0.23,51,436,149,34.2,11.47,3.92,0.11,0.31,17.2,17,5,5,47.6,43.8,0.1,3.4,2.2,13847,18038,76.8,239173,90485,6655,7661,86.9,4834,5923,81.6,1640,2995,54.8,33,34.1,30.9,-1.1,325,1005,266,55,1478,18038,16053,1914,501,75,161,631,824,188,86,82,4,13847,71,416,772,20.32,545,77,43,54,36,17,88,2.32,60,5,7,10,5,1,723,393,385,279,59,295,697,42.3,402,488,142,346,457,1180,926,16,48.6,22541,2350,6338,11093,5350,782,22536,668,389,58.2,279,41.8,11634,67597,34846,731,542,189,552,390,13762,1471,59,1,0,331,388,393,5,5,1,2104,636,620,50.6,26,38,54,523,193,36.9,13.76,5.08,0.1,0.26,17.1,19,4,5,61.9,58.0,0.12,-7.9,-8.0,15357,19548,78.6,258831,99119,7503,8474,88.5,5716,6817,83.8,1528,2825,54.1,40,46.7,40.2,-6.7,389,1322,336,73,1781,19548,17686,1737,375,86,129,711,799,207,89,85,5,15357,125,434,51.4,23872,2096,6281,11624,6237,915,23867,697,402,57.7,295,42.3,13118,74524,41343,853,679,204,522,428,15259,1767,0.4564315352697096
Burnley,2,38,38,3420,38,68,1.79,199,134,66.8,11,7,20,8,21.1,3,2,1,0,33.3,58.0,0.28,-6.0,-0.16,43,358,112,31.3,9.42,2.95,0.11,0.37,15.8,14,2,2,44.4,42.8,0.12,-1.4,-1.8,10134,14793,68.5,194079,85014,4537,5520,82.2,3643,4790,76.1,1595,3463,46.1,32,31.2,27.6,0.8,254,879,239,82,1032,14793,12804,1883,395,35,108,692,891,139,98,22,9,10134,106,327,624,16.42,417,81,14,55,52,5,69,1.82,45,8,0,13,3,0,584,311,280,246,58,237,539,44.0,302,516,222,294,367,951,1156,19,41.2,19189,2542,6104,8875,4395,634,19186,370,207,55.9,163,44.1,7936,43013,21370,421,336,72,525,314,10031,1020,75,1,0,360,356,311,1,3,4,1955,1016,1025,49.8,23,38,64,650,196,30.2,17.11,5.16,0.1,0.32,17.9,13,2,3,62.1,59.7,0.09,1.9,2.3,16631,21331,78.0,287084,101192,7841,8946,87.6,6394,7673,83.3,1753,3363,52.1,43,45.2,41.7,-2.2,503,1187,385,103,1721,21331,19291,1994,448,55,185,811,918,245,81,67,13,16631,46,380,58.8,25526,2181,7421,11647,6656,1065,25523,539,302,56.0,237,44.0,14231,77324,42340,917,592,247,548,347,16502,1710,0.4674657534246575
Liverpool,1,38,38,3420,38,22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,1,,27.2,0.29,5.2,0.14,86,568,211,37.1,14.95,5.55,0.14,0.37,17.0,20,7,7,73.7,68.4,0.12,12.3,10.6,21146,25571,82.7,364398,118593,9634,10759,89.5,8817,10042,87.8,1982,3284,60.4,55,49.8,52.6,5.2,422,1520,495,75,2008,25571,23583,1911,463,98,185,721,923,249,82,102,5,21146,77,394,1013,26.66,747,74,77,56,45,14,149,3.92,104,10,14,10,10,1,613,377,257,280,76,251,556,45.1,305,361,78,283,314,927,670,16,61.8,29528,1938,6900,15347,7500,1124,29521,619,356,57.5,263,42.5,19312,91672,48858,857,765,221,603,424,21029,1988,39,2,2,315,347,377,7,1,0,2111,593,587,50.3,23,38,22,306,96,31.4,8.05,2.53,0.07,0.23,18.2,9,0,1,28.8,28.0,0.1,-6.8,-6.0,11572,15810,73.2,202870,80749,5535,6452,85.8,4228,5296,79.8,1327,2872,46.2,16,20.2,20.2,-4.2,221,795,203,59,1047,15810,13964,1722,363,41,155,472,740,125,55,35,11,11572,124,331,38.2,20290,2764,7668,9007,3810,543,20288,556,305,54.9,251,45.1,9974,52218,26589,528,354,128,529,362,11479,1034,0.3849918433931484
Leicester City,1,38,38,3420,38,48,1.26,138,90,68.8,15,7,16,10,26.3,5,5,0,0,0.0,40.0,0.26,-8.0,-0.21,48,508,173,34.1,13.37,4.55,0.08,0.25,18.6,19,5,7,52.4,47.3,0.1,-4.4,-4.3,14640,19068,76.8,259605,95052,6805,7883,86.3,5513,6788,81.2,1752,3120,56.2,34,37.6,31.5,-3.6,381,1181,264,66,1537,19068,17065,1931,453,88,186,779,872,210,82,86,14,14640,72,395,898,23.63,625,87,64,56,50,16,85,2.24,59,3,7,7,9,0,675,393,344,277,54,237,549,43.2,312,429,96,333,438,1113,1034,24,50.9,23657,2242,7084,10997,5824,804,23650,664,392,59.0,272,41.0,13747,72168,38343,752,572,197,582,357,14553,1530,60,5,3,351,378,393,6,5,0,2087,811,679,54.4,25,38,48,422,133,31.5,11.11,3.5,0.1,0.32,18.4,18,5,5,43.7,39.8,0.1,4.3,3.2,14135,18601,76.0,242955,90894,6766,7803,86.7,5322,6533,81.5,1495,2935,50.9,36,30.7,30.5,5.3,301,1126,273,52,1465,18601,16602,1911,395,46,136,698,911,202,97,75,10,14135,88,437,49.1,22968,2257,6476,10998,5737,762,22963,549,312,56.8,237,43.2,12096,65794,35124,695,568,150,616,438,14021,1446,0.4177777777777778
Brighton,2,38,38,3420,38,60,1.58,170,110,70.6,9,9,20,7,18.4,10,10,0,0,0.0,55.9,0.28,-4.1,-0.11,35,364,99,27.2,9.58,2.61,0.08,0.3,17.9,12,5,6,35.3,30.7,0.09,-0.3,-0.7,11491,15824,72.6,217603,86066,5120,6084,84.2,4413,5549,79.5,1639,3202,51.2,24,24.5,23.1,-0.5,281,887,223,81,1150,15824,13912,1822,330,15,188,636,880,156,90,44,4,11491,90,342,647,17.03,427,87,40,35,45,13,55,1.45,29,9,1,7,8,1,679,391,363,238,78,264,582,45.4,318,415,170,245,463,1142,1001,17,42.4,20254,2464,7030,9055,4366,581,20249,516,269,52.1,247,47.9,10122,54122,26537,475,374,98,590,336,11393,1138,61,4,1,463,301,391,5,10,0,1979,824,780,51.4,21,38,60,573,160,27.9,15.08,4.21,0.09,0.31,18.1,27,10,10,59.1,51.4,0.09,0.9,-1.4,17677,21902,80.7,291899,97168,8772,9872,88.9,6753,7880,85.7,1482,2868,51.7,39,38.7,38.7,0.3,426,1316,370,74,1830,21902,19966,1899,513,43,139,725,835,216,68,91,15,17677,37,334,57.6,26121,1782,6315,12989,7048,973,26111,582,318,54.6,264,45.4,14786,81420,45177,845,676,196,548,415,17547,1815,0.4241531664212077
