,players_used,mp,starts,min,90s,ga,ga90,sota,saves,save%,w,d,l,cs,cs%,gpkatt,pka,pksv,pkm,pksave%,psxg,psxg/sot,psxg+/-,/90,gls,sh,sot,sot%,sh/90,sot/90,g/sh,g/sot,dist,fk,pk,pkatt,xg,npxg,npxg/sh,g-xg,np:g-xg,total cmp,total att,total cmp%,total totdist,total prgdist,short cmp,short att,short cmp%,medium cmp,medium att,medium cmp%,long cmp,long att,long cmp%,ast,xag,xa,a-xag,kp,p1/3,ppa,crspa,prgp,patt,plive,dead,pfk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,sca,sca90,sca passlive,sca passdead,sca to,sca sh,sca fld,sca def,gca,gca90,gca passlive,gca passdead,gca to,gca sh,gca fld,gca def,tackles tkl,tackles tklw,tackles def 3rd,tackles mid 3rd,tackles att 3rd,challenges tkl,challenges att,challenges tkl%,challenges lost,blocks blocks,blocks sh,blocks pass,int,tkl+int,clr,err,poss,touches,def pen,def 3rd,mid 3rd,att 3rd,att pen,live,att,succ,succ%,tkld,tkld%,carries,totdist,prgdist,prgc,1/3,cpa,mis,dis,rec,prgr,crdy,crdr,2crdy,fls,fld,tklw,pkwon,pkcon,og,recov,won,lost,won%,opp_players_used,opp_90s,opp_gls,opp_sh,opp_sot,opp_sot%,opp_sh/90,opp_sot/90,opp_g/sh,opp_g/sot,opp_dist,opp_fk,opp_pk,opp_pkatt,opp_xg,opp_npxg,opp_npxg/sh,opp_g-xg,opp_np:g-xg,opp_total cmp,opp_total att,opp_total cmp%,opp_total totdist,opp_total prgdist,opp_short cmp,opp_short att,opp_short cmp%,opp_medium cmp,opp_medium att,opp_medium cmp%,opp_long cmp,opp_long att,opp_long cmp%,opp_ast,opp_xag,opp_xa,opp_a-xag,opp_kp,opp_p1/3,opp_ppa,opp_crspa,opp_prgp,opp_patt,opp_plive,opp_dead,opp_pfk,opp_tb,opp_sw,opp_crs,opp_ti,opp_ck,opp_in,opp_out,opp_str,opp_cmp,opp_off,opp_blocks,opp_poss,opp_touches,opp_def pen,opp_def 3rd,opp_mid 3rd,opp_att 3rd,opp_att pen,opp_live,opp_att,opp_succ,opp_succ%,opp_tkld,opp_tkld%,opp_carries,opp_totdist,opp_prgdist,opp_prgc,opp_1/3,opp_cpa,opp_mis,opp_dis,opp_rec,opp_prgr,tls
Manchester Utd,1,38,38,3420,38,54,1.42,171,120,71.9,19,9,10,7,18.4,6,6,0,0,0.0,49.9,0.26,-1.1,-0.03,65,514,210,40.9,13.53,5.53,0.11,0.27,18.7,27,9,12,61.4,52.0,0.1,3.6,4.0,16834,20942,80.4,284489,101728,7987,8945,89.3,6247,7334,85.2,1704,2961,57.5,40,39.6,38.3,0.4,381,1219,339,58,1668,20942,18934,1918,435,63,207,638,859,200,78,70,20,16834,90,373,957,25.18,730,61,54,53,52,7,118,3.11,81,4,12,10,10,1,581,347,280,239,62,240,544,44.1,304,445,128,317,355,936,847,26,54.7,25095,2262,6748,12550,5992,893,25083,553,321,58.0,231,41.8,13180,70206,39118,801,594,215,528,424,16742,1662,75,4,2,433,397,347,11,6,3,1969,687,550,55.5,28,38,51,490,165,33.7,12.89,4.34,0.09,0.27,18.5,21,6,6,50.6,45.9,0.1,0.4,-0.9,13430,17529,76.6,224440,85856,6749,7598,88.8,4761,5847,81.4,1330,2804,47.4,37,36.7,34.1,0.3,371,1027,288,66,1336,17529,15643,1814,492,45,151,662,756,186,68,74,12,13430,72,391,45.3,21891,2268,6534,9903,5693,852,21885,544,304,55.9,240,44.1,11892,67385,36529,748,590,196,516,341,13324,1322,0.4027538726333907
Southampton,3,38,38,3420,38,65,1.71,175,112,64.0,9,12,17,7,18.4,3,2,1,0,33.3,54.0,0.3,-8.0,-0.21,44,479,155,32.4,12.61,4.08,0.08,0.26,18.9,20,4,5,46.9,43.4,0.1,-2.9,-3.4,11463,15930,72.0,201495,79147,5615,6610,84.9,4317,5535,78.0,1241,2873,43.2,27,29.3,27.9,-2.3,337,1086,260,68,1333,15930,14072,1797,409,35,139,666,805,193,97,63,22,11463,61,349,819,21.55,565,73,49,62,47,23,77,2.03,54,3,3,6,7,4,698,428,335,283,80,277,646,42.9,369,533,153,380,549,1247,1128,18,43.4,20812,2150,5984,9949,5087,709,20807,508,287,56.5,221,43.5,9653,54428,27555,603,444,155,539,380,11354,1313,73,3,2,420,341,428,4,3,3,2053,767,873,46.8,30,38,62,519,172,33.1,13.66,4.53,0.12,0.35,17.7,12,2,3,55.1,52.9,0.1,6.9,7.1,16244,21051,77.2,282476,101329,7503,8704,86.2,6346,7649,83.0,1724,3166,54.5,49,40.7,36.2,8.3,383,1164,343,79,1574,21051,18875,2088,462,63,152,710,1012,214,78,60,25,16244,88,460,56.6,25423,2252,7439,12055,6128,953,25420,648,369,56.9,278,42.9,13719,69890,36405,702,530,194,589,420,16129,1564,0.3868194842406877
Tottenham,3,38,38,3420,38,39,1.03,156,118,76.9,23,2,13,13,34.2,5,3,2,0,40.0,47.7,0.28,11.7,0.31,66,533,182,34.1,14.03,4.79,0.12,0.34,18.1,23,4,4,54.9,51.8,0.1,11.1,10.2,18808,23056,81.6,324971,107296,8731,9745,89.6,7694,8904,86.4,1810,3083,58.7,47,39.1,36.2,7.9,392,1283,364,90,1744,23056,21115,1867,457,87,136,643,851,194,54,81,5,18808,74,445,937,24.66,676,81,62,55,46,17,115,3.03,81,9,6,11,7,1,627,373,310,237,80,268,577,46.4,309,415,112,303,325,952,823,20,59.0,27311,2487,7711,13441,6402,884,27307,672,370,55.1,302,44.9,17170,84748,44019,840,684,205,603,349,18666,1727,57,3,1,376,364,373,3,5,3,2107,599,611,49.5,28,38,36,456,151,33.1,12.0,3.97,0.07,0.22,17.4,13,3,5,47.1,43.0,0.1,-11.1,-10.0,11840,15982,74.1,217278,86532,5431,6334,85.7,4181,5215,80.2,1691,3167,53.4,28,33.6,29.1,-5.6,342,933,255,72,1198,15982,14084,1791,430,72,208,662,776,187,86,57,16,11840,107,379,41.0,20494,2362,6675,9034,4992,747,20489,577,309,53.6,268,46.4,10494,56237,27757,597,453,173,591,359,11755,1183,0.4051036682615629
Arsenal,2,38,38,3420,38,51,1.34,182,132,75.8,21,7,10,8,21.1,7,7,0,0,0.0,53.5,0.26,3.5,0.09,69,462,159,34.4,12.16,4.18,0.14,0.41,16.7,11,4,5,60.1,56.0,0.12,8.9,9.0,18425,22549,81.7,313400,105044,8573,9619,89.1,7384,8450,87.4,1716,2882,59.5,52,46.7,43.9,5.3,363,1220,417,63,1874,22549,20518,1942,543,65,152,605,823,209,59,65,2,18425,89,453,831,21.87,655,58,50,34,22,12,116,3.05,91,6,5,6,7,1,609,366,294,236,79,228,535,42.6,307,424,118,306,412,1021,798,28,58.1,26670,2457,7996,12381,6492,984,26665,536,304,56.7,232,43.3,14889,82855,44451,868,591,203,564,409,18303,1869,73,2,1,412,455,366,4,7,1,2000,555,637,46.6,28,38,50,492,175,35.6,12.95,4.61,0.09,0.25,18.4,18,7,7,54.2,48.7,0.1,-4.2,-5.7,12313,16319,75.5,218281,85800,5823,6698,86.9,4500,5597,80.4,1500,2840,52.8,32,36.8,31.7,-4.8,367,973,288,65,1279,16319,14430,1795,464,68,150,627,733,184,71,82,5,12313,94,360,41.9,20743,2232,6287,9435,5238,832,20736,537,307,57.2,228,42.5,10744,58366,30164,683,495,184,551,380,12212,1265,0.3990147783251231
Chelsea,2,38,38,3420,38,39,1.03,124,84,69.4,21,9,8,16,42.1,2,1,1,0,50.0,36.8,0.28,-2.2,-0.06,61,602,192,31.9,15.84,5.05,0.09,0.29,17.8,30,5,5,58.6,54.6,0.09,2.4,1.4,22960,26774,85.8,357355,116569,12272,13378,91.7,7956,8992,88.5,1700,2561,66.4,52,44.9,45.9,7.1,482,1640,415,65,2155,26774,24894,1797,471,146,216,692,762,215,74,86,19,22960,83,434,1131,29.76,892,58,61,45,54,21,114,3.0,82,5,13,7,6,1,618,365,280,245,93,241,541,44.5,300,357,73,284,353,971,645,16,62.9,30774,2105,7613,14434,8968,1029,30769,703,449,63.9,253,36.0,18388,103404,58308,1058,897,251,512,458,22820,2135,49,0,0,339,424,365,5,2,0,2171,523,504,50.9,24,38,39,347,122,35.2,9.13,3.21,0.11,0.31,17.5,9,1,2,36.4,34.7,0.1,2.6,3.3,12084,15784,76.6,227292,84904,5137,5934,86.6,4930,5813,84.8,1629,3020,53.9,30,27.2,24.8,2.8,256,887,235,70,1127,15784,13989,1718,407,32,169,511,731,141,54,31,10,12084,77,347,37.1,20301,2645,7508,8559,4459,609,20300,541,300,55.5,241,44.5,10700,54769,25744,501,394,133,542,377,12010,1116,0.4093851132686084
Wolves,3,38,38,3420,38,46,1.21,141,99,69.5,16,9,13,9,23.7,4,3,0,1,0.0,39.4,0.26,-2.6,-0.07,46,473,144,30.4,12.45,3.79,0.09,0.29,17.7,12,4,4,52.1,49.0,0.11,-6.1,-7.0,13961,18261,76.5,255563,92552,5966,6900,86.5,5519,6661,82.9,1884,3353,56.2,35,39.4,30.3,-4.4,348,1053,242,73,1350,18261,16415,1773,361,51,194,622,843,195,63,87,3,13961,73,394,828,21.79,605,69,53,48,40,13,82,2.16,58,6,4,6,8,0,720,408,385,284,51,283,664,42.6,381,499,148,351,501,1221,895,23,46.8,22684,2093,6742,11104,5061,705,22680,596,331,55.5,264,44.3,11225,63786,34764,743,494,192,498,401,13845,1335,73,1,0,409,325,408,4,4,4,2239,803,788,50.5,21,38,42,459,138,30.1,12.08,3.63,0.08,0.28,19.0,19,3,4,42.1,39.0,0.09,-0.1,0.0,16749,21077,79.5,286755,98460,7853,8839,88.8,6604,7767,85.0,1654,3076,53.8,32,27.7,29.4,4.3,312,1158,284,58,1573,21077,19138,1891,456,39,112,654,873,190,75,60,8,16749,48,430,53.2,25401,2092,6439,12980,6198,732,25397,665,381,57.3,283,42.6,14268,74563,38469,750,624,150,559,436,16643,1562,0.4333333333333333
Everton,1,38,38,3420,38,46,1.21,136,89,67.6,15,9,14,14,36.8,5,2,3,0,60.0,45.3,0.3,1.3,0.03,53,493,163,33.1,12.97,4.29,0.1,0.31,16.9,20,2,5,49.7,45.7,0.1,3.3,5.3,13878,18477,75.1,242908,92894,6427,7566,84.9,5206,6428,81.0,1589,3045,52.2,34,33.7,30.4,0.3,353,1102,298,94,1581,18477,16376,2032,495,44,140,814,947,215,79,114,4,13878,69,416,845,22.24,573,88,57,61,56,10,93,2.45,65,5,8,12,3,0,699,441,326,290,83,220,511,43.1,291,414,85,329,453,1152,877,21,51.5,23015,2175,6887,10485,5873,856,23011,587,328,55.9,258,44.0,12685,66255,34030,697,522,166,693,469,13764,1566,56,4,1,432,418,441,4,5,2,2157,872,877,49.9,23,38,44,398,131,32.9,10.47,3.45,0.11,0.32,17.7,17,2,5,45.7,41.7,0.11,-1.7,0.3,13146,17729,74.1,233950,90410,6047,7110,85.0,5045,6259,80.6,1543,3100,49.8,24,31.2,31.1,-7.2,288,1002,255,57,1360,17729,15626,2018,470,79,137,568,975,179,79,58,11,13146,85,395,48.5,22290,2294,7169,10332,5017,712,22285,512,291,56.8,219,42.8,11609,63158,33311,598,428,154,575,478,13052,1351,0.3690987124463519
Sheffield Utd,2,38,38,3420,38,39,1.03,139,99,72.7,14,12,12,13,34.2,3,1,1,1,50.0,43.7,0.32,4.7,0.12,36,352,109,31.0,9.26,2.87,0.1,0.32,15.2,4,1,1,43.0,42.2,0.12,-7.0,-7.2,12125,16858,71.9,222335,83887,5714,6687,85.4,4480,5657,79.2,1579,3404,46.4,25,34.0,29.7,-9.0,269,1053,282,97,1352,16858,14962,1818,375,15,206,866,882,212,150,18,18,12125,78,341,630,16.58,457,62,44,38,23,6,63,1.66,47,3,6,6,1,0,611,377,304,229,78,261,646,40.4,385,336,106,230,420,1031,931,16,43.1,21000,2180,6190,8918,6070,733,20999,535,346,64.7,187,35.0,9508,48303,23773,493,375,116,519,292,12015,1334,63,2,1,412,306,377,1,3,0,2041,946,886,51.6,26,38,39,428,137,32.0,11.26,3.61,0.09,0.28,17.6,24,1,3,51.0,48.6,0.12,-12.0,-10.6,17999,22602,79.6,316412,102270,8160,9268,88.0,7419,8694,85.3,1854,3409,54.4,28,38.1,31.4,-10.1,326,1150,258,60,1420,22602,20552,1993,455,48,210,761,946,218,99,72,9,17999,57,295,56.9,26644,2500,8708,12112,6017,797,26641,647,385,59.5,261,40.3,15689,84647,45113,840,596,191,550,349,17867,1410,0.3829787234042553
Norwich City,3,38,38,3420,38,75,1.97,210,135,66.2,5,6,27,5,13.2,7,4,3,0,42.9,66.5,0.29,-5.5,-0.14,25,407,126,31.0,10.71,3.32,0.06,0.18,18.0,16,2,2,37.0,35.4,0.09,-12.0,-12.4,14965,18869,79.3,243176,86282,7717,8664,89.1,5301,6196,85.6,1336,2696,49.6,18,27.4,23.6,-9.4,304,913,210,32,1169,18869,16961,1858,461,47,124,473,773,162,75,77,2,14965,50,373,717,18.87,522,56,47,47,35,10,43,1.13,34,2,2,2,1,2,628,379,359,210,59,267,700,38.1,433,453,171,282,397,1025,959,20,49.3,23409,3125,9058,9868,4701,661,23407,706,427,60.5,278,39.4,14090,74844,38544,673,476,177,591,405,14835,1159,68,3,0,363,430,379,1,7,3,1989,518,673,43.5,30,38,72,600,203,33.8,15.79,5.34,0.11,0.33,16.6,19,4,7,66.5,60.9,0.1,5.5,7.1,15431,19565,78.9,273323,96267,6951,7961,87.3,6154,7294,84.4,1749,3018,58.0,50,46.6,42.9,3.4,449,1322,424,103,1793,19565,17728,1798,384,26,157,893,846,266,126,88,0,15431,39,371,50.7,23793,1850,5880,10739,7402,1131,23786,700,433,61.9,267,38.1,13899,74699,39077,846,628,259,540,361,15314,1772,0.3964968152866241
Aston Villa,4,38,38,3420,38,67,1.76,182,115,65.9,9,8,21,7,18.4,6,5,1,0,16.7,51.6,0.25,-14.4,-0.38,40,453,147,32.5,11.92,3.87,0.09,0.27,17.5,21,1,3,44.3,41.8,0.09,-4.3,-2.8,11652,15672,74.3,217478,84204,5074,5895,86.1,4810,5882,81.8,1480,3002,49.3,32,34.2,27.7,-2.2,369,908,270,95,1247,15672,13604,2006,562,17,153,798,797,200,109,34,8,11652,62,307,828,21.79,599,88,42,36,56,7,72,1.89,48,8,5,4,7,0,523,291,285,174,64,223,597,37.4,374,456,184,272,423,946,928,26,44.1,19977,2658,7038,8203,4969,695,19974,569,352,61.9,217,38.1,10317,61373,31557,639,476,139,546,313,11546,1229,70,1,1,451,525,291,2,6,1,1900,705,742,48.7,28,38,66,602,176,29.2,15.84,4.63,0.1,0.35,16.8,21,5,6,67.8,63.0,0.11,-1.8,-2.0,16142,20266,79.7,279743,100721,7760,8725,88.9,6185,7276,85.0,1661,2984,55.7,44,46.6,39.9,-2.6,458,1350,383,74,1823,20266,18345,1878,481,48,172,857,803,242,101,87,7,16142,43,370,55.9,24385,2244,6762,10847,6995,1124,24379,597,374,62.6,223,37.4,14320,76343,41258,838,606,257,528,300,16041,1805,0.4435946462715104
