,goalie,defs,mids,atks,offdeff,intensity,dirspeed,deads,press,contra,buildup,progress,carr,wings,agresive,deferror,offsucc
Arsenal,0.55,0.9,0.8,0.95,1.0,0.8,0.1,0.1,0.95,0.45,0.85,0.9,0.2,0.15,0.7,0.15,0.85
Aston Villa,0.6,0.525,0.55,0.75,0.25,0.35,0.55,0.7,0.6,0.7,0.6,0.3,0.95,0.3,0.55,0.95,0.05
Bournemouth,0.35,0.2,0.15,0.575,0.1,0.15,0.5,0.9,0.05,0.5,0.3,0.05,0.85,0.9,0.05,0.7,0.15
Brentford,0.85,0.75,0.65,0.8,0.35,0.1,1.0,0.85,0.45,0.75,0.1,0.8,0.05,0.65,0.1,0.8,0.7
Brighton,0.1,0.7,0.95,0.35,0.8,0.85,0.25,0.2,0.9,0.9,0.9,0.7,0.3,0.2,0.5,0.5,0.75
Chelsea,0.75,0.525,0.5,0.1,0.75,0.9,0.15,0.25,0.85,0.4,0.95,0.35,0.65,0.4,0.9,0.45,0.3
Crystal Palace,0.5,0.85,0.225,0.7,0.4,0.45,0.8,0.75,0.35,0.35,0.4,0.55,0.45,0.8,1.0,0.6,0.4
Everton,0.9,0.1,0.3,0.05,0.5,0.2,0.75,0.8,0.25,0.6,0.15,0.2,0.55,0.95,0.8,0.3,0.1
Fulham,0.95,0.25,0.35,0.85,0.6,0.55,0.3,0.6,0.55,0.25,0.2,0.6,0.8,0.6,0.95,0.85,0.6
Leeds United,0.15,0.05,0.4,0.45,0.7,0.4,0.95,0.95,0.8,0.15,0.55,0.95,0.15,0.45,0.45,1.0,0.5
Leicester City,0.2,0.3,0.6,0.575,0.2,0.65,0.7,0.45,0.3,0.65,0.75,0.1,0.35,0.1,0.2,0.55,0.55
Liverpool,1.0,0.6,0.9,0.65,0.85,0.95,0.45,0.15,1.0,0.85,0.7,0.75,0.1,0.35,0.15,0.25,1.0
Manchester City,0.45,1.0,1.0,1.0,0.95,1.0,0.05,0.05,0.7,0.55,1.0,0.15,0.6,0.05,0.3,0.05,0.95
Manchester Utd,0.65,0.65,0.75,0.15,0.65,0.75,0.4,0.3,0.65,1.0,0.8,0.65,0.4,0.25,0.85,0.1,0.65
Newcastle Utd,0.8,0.95,0.85,0.3,0.9,0.5,0.9,0.5,0.75,0.8,0.5,1.0,0.25,0.75,0.6,0.35,0.9
Nott'ham Forest,0.3,0.15,0.225,0.4,0.05,0.05,0.85,1.0,0.15,0.2,0.05,0.25,0.9,0.55,0.75,0.2,0.2
Southampton,0.05,0.35,0.1,0.5,0.45,0.3,0.6,0.65,0.4,0.3,0.45,0.45,1.0,0.85,0.65,0.75,0.45
Tottenham,0.25,0.8,0.7,0.9,0.3,0.7,0.2,0.35,0.2,0.95,0.65,0.4,0.7,0.5,0.4,0.65,0.8
West Ham,0.7,0.45,0.45,0.25,0.55,0.25,0.65,0.55,0.1,0.05,0.25,0.85,0.75,1.0,0.35,0.4,0.35
Wolves,0.4,0.4,0.05,0.2,0.15,0.6,0.35,0.4,0.5,0.1,0.35,0.5,0.5,0.7,0.25,0.9,0.25
