,goalie,defs,mids,atks,offdeff,intensity,dirspeed,deads,press,contra,buildup,progress,carr,wings,agresive,deferror,offsucc
Liverpool,0.15,0.925,0.9,1.0,0.95,0.95,0.25,0.15,1.0,0.85,0.75,0.3,0.65,0.4,0.25,0.2,1.0
Manchester Utd,0.55,0.925,0.825,0.775,0.9,0.8,0.2,0.2,0.75,0.95,0.95,0.6,0.75,0.1,0.6,0.45,0.75
Burnley,0.4,0.65,0.45,0.4,0.6,0.05,1.0,0.95,0.5,0.15,0.05,0.2,0.5,0.65,0.55,0.05,0.15
Newcastle Utd,0.85,0.15,0.05,0.7,0.1,0.1,0.6,0.85,0.05,0.6,0.1,0.1,0.95,0.95,0.95,0.25,0.1
Sheffield Utd,1.0,0.6,0.2,0.25,0.85,0.4,0.95,0.6,0.2,0.05,0.15,1.0,0.05,1.0,0.45,0.1,0.8
Wolves,0.3,0.85,0.7,0.475,0.45,0.55,0.4,0.45,0.35,0.3,0.25,0.4,1.0,0.9,0.7,0.75,0.85
West Ham,0.65,0.2,0.55,0.65,0.7,0.35,0.7,0.65,0.25,0.35,0.4,0.95,0.35,0.85,0.5,0.3,0.6
Brighton,0.45,0.45,0.35,0.15,0.35,0.65,0.45,0.3,0.7,0.4,0.6,0.75,0.1,0.2,0.35,0.6,0.5
Everton,0.25,0.7,0.65,0.2,0.4,0.45,0.75,0.55,0.65,0.75,0.3,0.8,0.15,0.7,0.9,0.35,0.4
Manchester City,0.6,1.0,1.0,0.85,1.0,1.0,0.05,0.05,0.85,0.8,1.0,0.55,0.45,0.25,0.4,0.15,0.9
Arsenal,0.75,0.4,0.4,0.95,0.25,0.7,0.1,0.4,0.55,0.65,0.65,0.45,0.6,0.3,0.65,0.4,0.35
Tottenham,0.95,0.5,0.5,0.9,0.5,0.75,0.35,0.35,0.6,0.45,0.85,0.15,0.85,0.35,0.2,0.5,0.65
Chelsea,0.05,0.8,0.95,0.6,0.75,0.9,0.15,0.1,0.8,1.0,0.9,0.25,0.8,0.45,0.8,0.85,0.95
Crystal Palace,0.9,0.35,0.1,0.325,0.2,0.3,0.8,0.9,0.45,0.2,0.45,0.5,0.4,0.55,1.0,1.0,0.2
Southampton,0.35,0.55,0.75,0.475,0.8,0.5,0.9,0.75,0.9,0.5,0.5,0.85,0.25,0.6,0.75,0.95,0.7
Aston Villa,0.1,0.05,0.25,0.55,0.3,0.15,0.5,1.0,0.1,0.7,0.2,0.9,0.7,0.8,0.15,0.8,0.25
Leicester City,0.8,0.75,0.825,0.775,0.65,0.85,0.65,0.25,0.95,0.9,0.7,0.35,0.2,0.15,0.85,0.55,0.55
Fulham,0.9,0.4,0.3,0.05,0.35,0.6,0.45,0.5,0.5,0.2,0.6,0.45,0.95,0.85,0.8,0.95,0.45
Leeds United,0.7,0.25,0.75,0.65,0.15,0.7,0.35,0.6,1.0,1.0,0.45,0.85,0.6,0.35,0.65,1.0,0.65
West Brom,0.55,0.05,0.15,0.3,0.2,0.05,0.95,1.0,0.1,0.15,0.1,0.95,0.15,0.8,0.4,0.75,0.15
