league,season,game,date,home_team,away_team,B365H,B365D,B365A,WHH,WHD,WHA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,pAvgH,pAvgD,pAvgA
ENG-Premier League,2223,2023-02-15 Arsenal-Manchester City,2023-02-15 19:30:00,Arsenal,Manchester City,2.9,3.5,2.35,2.88,3.4,2.4,3.04,3.65,2.51,2.93,3.51,2.42,0.32820391391611303,0.27236298949580073,0.3994330965876209
ENG-Premier League,2223,2023-02-18 Aston Villa-Arsenal,2023-02-18 12:30:00,Aston Villa,Arsenal,4.5,3.6,1.5,4.33,3.6,1.8,4.6,3.86,1.87,4.43,3.71,1.84,0.21397334729380596,0.2573449109045418,0.5286817418021094
ENG-Premier League,2223,2023-02-18 Brentford-Crystal Palace,2023-02-18 15:00:00,Brentford,Crystal Palace,1.83,3.5,4.5,1.85,3.4,4.4,1.9,3.7,4.9,1.86,3.54,4.59,0.5231817734372521,0.2704044720900909,0.20641375447221505
ENG-Premier League,2223,2023-02-18 Brighton-Fulham,2023-02-18 15:00:00,Brighton,Fulham,1.65,3.8,5.5,1.67,3.8,5.0,1.7,4.2,5.6,1.67,4.06,5.15,0.58327470028242,0.2341591113668807,0.18256618835116162
ENG-Premier League,2223,2023-02-18 Chelsea-Southampton,2023-02-18 15:00:00,Chelsea,Southampton,1.4,4.75,8.5,1.38,4.5,9.0,1.41,5.0,10.0,1.38,4.76,9.42,0.7072219011195913,0.19772842686856032,0.09504967201224934
ENG-Premier League,2223,2023-02-18 Everton-Leeds United,2023-02-18 15:00:00,Everton,Leeds United,2.4,3.3,3.0,2.45,3.25,2.9,2.55,3.4,3.09,2.48,3.31,2.99,0.3894065823133048,0.2892905316084403,0.3213028860777955
ENG-Premier League,2223,2023-02-18 Newcastle Utd-Liverpool,2023-02-18 17:30:00,Newcastle Utd,Liverpool,2.5,3.5,2.7,2.5,3.4,2.7,2.7,3.65,2.83,2.57,3.51,2.75,0.37615444321160685,0.27292398373787385,0.3509215730509964
ENG-Premier League,2223,2023-02-18 Nott'ham Forest-Manchester City,2023-02-18 15:00:00,Nott'ham Forest,Manchester City,8.5,5.5,1.3,10.0,5.5,1.29,11.0,5.9,1.34,10.01,5.62,1.31,0.0887668840657828,0.16580705324365988,0.7454260626909789
ENG-Premier League,2223,2023-02-18 Wolves-Bournemouth,2023-02-18 15:00:00,Wolves,Bournemouth,1.67,3.6,6.0,1.67,3.7,5.25,1.72,3.95,6.1,1.68,3.81,5.53,0.5800334631449853,0.25038811592721305,0.16957842092735934
ENG-Premier League,2223,2023-02-19 Manchester Utd-Leicester City,2023-02-19 14:00:00,Manchester Utd,Leicester City,1.62,4.33,5.25,1.6,4.2,5.0,1.66,4.5,5.5,1.62,4.32,5.22,0.6011631612337649,0.21916039889251993,0.17967643987417192
ENG-Premier League,2223,2023-02-19 Tottenham-West Ham,2023-02-19 16:30:00,Tottenham,West Ham,1.75,3.6,4.75,1.83,3.6,4.2,1.88,3.86,4.75,1.83,3.76,4.39,0.5310778427978884,0.25334701414527233,0.21557514305727912
ENG-Premier League,2223,2023-02-24 Fulham-Wolves,2023-02-24 20:00:00,Fulham,Wolves,2.5,3.2,3.0,2.5,3.2,2.9,2.65,3.38,3.1,2.54,3.22,3.0,0.38072536041215715,0.2983568431473678,0.3209177964409441
ENG-Premier League,2223,2023-02-25 Bournemouth-Manchester City,2023-02-25 17:30:00,Bournemouth,Manchester City,10.0,5.75,1.29,11.0,5.5,1.27,11.5,6.2,1.33,10.21,5.81,1.3,0.08733507196908896,0.16060355919113325,0.7520613688401591
ENG-Premier League,2223,2023-02-25 Crystal Palace-Liverpool,2023-02-25 19:45:00,Crystal Palace,Liverpool,4.75,3.8,1.73,4.5,3.75,1.75,5.0,4.1,1.79,4.7,3.93,1.74,0.20018569985584558,0.24141740182379479,0.5583968983199186
ENG-Premier League,2223,2023-02-25 Everton-Aston Villa,2023-02-25 15:00:00,Everton,Aston Villa,2.5,3.2,3.0,2.5,3.2,2.9,2.62,3.31,3.06,2.54,3.21,2.98,0.3796304622604372,0.29828495465907956,0.3220845830809526
ENG-Premier League,2223,2023-02-25 Leeds United-Southampton,2023-02-25 15:00:00,Leeds United,Southampton,1.95,3.5,4.0,1.95,3.5,3.8,2.05,3.72,4.2,1.99,3.57,3.89,0.48775905998205815,0.2675254772567134,0.2447154627616741
ENG-Premier League,2223,2023-02-25 Leicester City-Arsenal,2023-02-25 15:00:00,Leicester City,Arsenal,4.75,4.0,1.7,4.6,3.9,1.7,5.0,4.3,1.74,4.73,4.09,1.71,0.19920997897452974,0.23194049388823956,0.5688495271367708
ENG-Premier League,2223,2023-02-25 West Ham-Nott'ham Forest,2023-02-25 15:00:00,West Ham,Nott'ham Forest,1.75,3.6,5.0,1.78,3.5,4.8,1.83,3.7,5.2,1.78,3.61,4.97,0.5463445782506408,0.26433514974705313,0.18932027200275092
ENG-Premier League,2223,2023-02-26 Tottenham-Chelsea,2023-02-26 13:30:00,Tottenham,Chelsea,2.55,3.25,2.9,2.5,3.2,2.88,2.65,3.44,3.0,2.54,3.33,2.91,0.38070777303252745,0.2881782901142119,0.3311139368537276
ENG-Premier League,2223,2023-03-01 Arsenal-Everton,2023-03-01 19:45:00,Arsenal,Everton,1.36,4.75,10.0,1.32,5.0,9.5,1.4,5.4,10.0,1.36,5.04,9.33,0.7177710751489631,0.18617670944464257,0.09605221540596527
ENG-Premier League,2223,2023-03-01 Liverpool-Wolves,2023-03-01 20:00:00,Liverpool,Wolves,1.5,4.75,6.0,1.47,4.33,7.0,1.52,4.8,7.0,1.49,4.59,6.6,0.654412943270786,0.20559902702691513,0.13998802970275104
ENG-Premier League,2223,2023-03-04 Arsenal-Bournemouth,2023-03-04 15:00:00,Arsenal,Bournemouth,1.22,7.0,12.0,1.2,6.5,13.0,1.24,7.3,15.0,1.22,6.82,13.83,0.8023194481338785,0.1354912790575801,0.06218927280887518
