,players_used,mp,starts,min,90s,ga,ga90,sota,saves,save%,w,d,l,cs,cs%,gpkatt,pka,pksv,pkm,pksave%,psxg,psxg/sot,psxg+/-,/90,gls,sh,sot,sot%,sh/90,sot/90,g/sh,g/sot,dist,fk,pk,pkatt,xg,npxg,npxg/sh,g-xg,np:g-xg,total cmp,total att,total cmp%,total totdist,total prgdist,short cmp,short att,short cmp%,medium cmp,medium att,medium cmp%,long cmp,long att,long cmp%,ast,xag,xa,a-xag,kp,p1/3,ppa,crspa,prgp,patt,plive,dead,pfk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,sca,sca90,sca passlive,sca passdead,sca to,sca sh,sca fld,sca def,gca,gca90,gca passlive,gca passdead,gca to,gca sh,gca fld,gca def,tackles tkl,tackles tklw,tackles def 3rd,tackles mid 3rd,tackles att 3rd,challenges tkl,challenges att,challenges tkl%,challenges lost,blocks blocks,blocks sh,blocks pass,int,tkl+int,clr,err,poss,touches,def pen,def 3rd,mid 3rd,att 3rd,att pen,live,att,succ,succ%,tkld,tkld%,carries,totdist,prgdist,prgc,1/3,cpa,mis,dis,rec,prgr,crdy,crdr,2crdy,fls,fld,tklw,pkwon,pkcon,og,recov,won,lost,won%,opp_players_used,opp_90s,opp_gls,opp_sh,opp_sot,opp_sot%,opp_sh/90,opp_sot/90,opp_g/sh,opp_g/sot,opp_dist,opp_fk,opp_pk,opp_pkatt,opp_xg,opp_npxg,opp_npxg/sh,opp_g-xg,opp_np:g-xg,opp_total cmp,opp_total att,opp_total cmp%,opp_total totdist,opp_total prgdist,opp_short cmp,opp_short att,opp_short cmp%,opp_medium cmp,opp_medium att,opp_medium cmp%,opp_long cmp,opp_long att,opp_long cmp%,opp_ast,opp_xag,opp_xa,opp_a-xag,opp_kp,opp_p1/3,opp_ppa,opp_crspa,opp_prgp,opp_patt,opp_plive,opp_dead,opp_pfk,opp_tb,opp_sw,opp_crs,opp_ti,opp_ck,opp_in,opp_out,opp_str,opp_cmp,opp_off,opp_blocks,opp_poss,opp_touches,opp_def pen,opp_def 3rd,opp_mid 3rd,opp_att 3rd,opp_att pen,opp_live,opp_att,opp_succ,opp_succ%,opp_tkld,opp_tkld%,opp_carries,opp_totdist,opp_prgdist,opp_prgc,opp_1/3,opp_cpa,opp_mis,opp_dis,opp_rec,opp_prgr,tls
Arsenal,3,38,38,3417,38,39,1.03,129,93,71.3,18,7,13,12,31.6,3,2,1,0,33.3,36.0,0.26,1.0,0.03,53,453,140,30.9,11.92,3.68,0.1,0.34,17.7,23,6,6,51.8,47.0,0.11,1.2,0.0,18041,21807,82.7,306094,93540,8319,9236,90.1,7770,8814,88.2,1453,2621,55.4,38,35.1,35.3,2.9,332,1377,325,67,1760,21807,20122,1624,440,34,133,751,663,207,86,64,12,18041,61,311,813,21.39,623,44,49,45,46,6,95,2.5,69,2,8,6,8,2,456,252,206,184,66,212,547,38.8,335,368,113,255,351,807,643,16,53.5,25431,2426,7970,11384,6240,910,25425,535,296,55.3,239,44.7,15543,83237,45097,758,499,195,511,260,17924,1748,49,5,1,346,400,252,5,3,4,1838,504,594,45.9,29,38,35,412,126,30.6,10.84,3.32,0.08,0.26,17.8,12,2,3,43.0,40.6,0.1,-8.0,-7.6,15355,19093,80.4,264758,88749,7194,8000,89.9,6173,7125,86.6,1478,2802,52.7,25,31.8,26.6,-6.8,304,1095,262,64,1175,19093,17471,1569,387,14,111,652,657,166,70,55,9,15355,53,290,46.2,22816,2643,7657,10092,5265,721,22813,547,335,61.2,212,38.8,13140,66700,33431,604,464,162,507,244,15224,1165,0.4473684210526315
Aston Villa,1,38,38,3420,38,46,1.21,186,133,78.0,16,7,15,15,39.5,6,5,1,0,16.7,49.2,0.24,4.2,0.11,52,514,178,34.6,13.53,4.68,0.09,0.26,17.3,16,5,6,52.5,47.9,0.1,-0.5,-0.9,12938,16996,76.1,235927,93009,5729,6654,86.1,5222,6209,84.1,1571,3074,51.1,38,37.4,31.4,0.6,403,1086,323,76,1420,16996,15003,1922,590,12,127,779,780,213,106,39,15,12938,71,275,940,24.74,670,91,63,47,58,11,94,2.47,66,8,4,6,9,1,530,282,262,202,66,250,571,43.8,321,438,159,279,387,917,783,17,48.5,21113,2577,6973,8614,5759,947,21107,595,369,62.0,223,37.5,11291,60378,30659,629,463,226,579,337,12832,1403,71,4,4,439,553,282,6,6,1,1906,728,665,52.3,24,38,45,532,180,33.8,14.0,4.74,0.08,0.22,18.1,27,5,6,51.1,46.4,0.09,-6.1,-6.4,14251,18381,77.5,241489,88874,6833,7727,88.4,5491,6601,83.2,1347,2806,48.0,30,31.1,30.1,-1.1,375,1068,362,84,1549,18381,16552,1782,473,16,151,784,735,194,86,62,5,14251,47,321,51.9,22498,2506,7471,9303,5952,955,22492,582,321,55.2,261,44.8,12009,66245,35967,726,508,200,551,269,14149,1534,0.4679245283018868
Brighton,2,38,38,3420,38,46,1.21,125,81,68.0,9,14,15,12,31.6,7,6,0,1,0.0,35.9,0.24,-8.1,-0.21,39,478,134,28.0,12.58,3.53,0.07,0.25,17.4,15,6,9,50.9,43.8,0.09,-11.9,-10.8,15772,19871,79.4,283213,95248,6694,7654,87.5,6893,7960,86.6,1689,3090,54.7,24,33.2,34.9,-9.2,358,1132,358,80,1516,19871,18111,1708,404,17,164,686,769,219,71,107,2,15772,52,313,847,22.29,628,75,34,55,42,13,63,1.66,47,6,1,4,5,0,628,334,297,251,80,252,603,41.8,351,417,97,320,425,1053,604,8,51.1,23756,2489,7928,10231,5828,885,23747,573,350,61.1,222,38.7,13491,73709,37608,685,468,131,549,306,15634,1495,49,6,2,428,357,334,7,7,2,2040,531,574,48.1,27,38,44,351,119,33.9,9.24,3.13,0.11,0.32,18.6,10,6,7,35.3,29.8,0.09,8.7,8.2,15268,19240,79.4,256988,89029,7274,8189,88.8,6040,7081,85.3,1385,2707,51.2,30,23.3,25.0,6.7,264,1097,264,66,1302,19240,17411,1775,459,16,102,625,752,165,74,40,2,15268,54,367,48.7,23200,2436,7588,10460,5345,677,23193,603,351,58.2,253,42.0,13163,68904,34879,587,464,141,591,376,15157,1290,0.4681528662420382
Burnley,3,38,38,3420,38,55,1.45,179,125,70.9,10,9,19,11,28.9,3,3,0,0,0.0,49.1,0.26,-4.9,-0.13,32,381,124,32.5,10.03,3.26,0.08,0.23,17.4,15,3,3,39.3,36.9,0.1,-7.3,-7.9,10825,15562,69.6,196816,82192,5117,6058,84.5,3688,4824,76.5,1553,3535,43.9,20,27.7,26.9,-7.7,267,923,292,80,1012,15562,13737,1745,461,10,110,772,721,172,154,5,1,10825,80,263,666,17.53,471,71,28,36,51,9,52,1.37,32,6,4,3,5,2,507,293,241,203,63,229,564,40.6,335,440,180,260,416,923,824,11,42.1,19391,2181,5794,9081,4683,699,19388,403,234,58.1,170,42.2,9240,46385,20946,389,340,75,503,278,10755,1002,48,0,0,384,389,293,3,3,1,2000,874,854,50.6,25,38,54,567,176,31.0,14.92,4.63,0.09,0.29,17.4,13,3,3,54.7,52.3,0.09,-0.7,-1.3,16991,21670,78.4,285021,96838,8139,9265,87.8,6585,7792,84.5,1580,3182,49.7,47,42.5,37.7,4.5,454,1151,402,83,1665,21670,19780,1811,443,24,162,801,796,237,76,74,7,16991,79,323,58.3,25555,2502,8190,11216,6361,975,25552,565,335,59.3,226,40.0,14183,79971,43477,884,587,219,568,278,16861,1657,0.4220907297830375
Chelsea,3,38,38,3420,38,36,0.95,107,71,69.2,19,10,9,18,47.4,4,3,1,0,25.0,31.4,0.26,-3.6,-0.1,56,546,193,35.3,14.37,5.08,0.09,0.25,17.1,16,8,10,62.4,54.5,0.1,-6.4,-6.5,21969,25799,85.2,360450,112392,10454,11454,91.3,8965,9976,89.9,1667,2703,61.7,38,41.5,37.1,-3.5,448,1441,377,70,1798,25799,24055,1665,402,29,154,749,732,226,77,113,2,21969,79,362,1018,26.79,790,81,42,55,43,7,95,2.5,69,6,4,6,10,0,612,341,257,282,73,231,570,40.5,339,420,83,337,382,994,661,16,60.9,29889,2502,8879,13917,7308,1017,29879,657,359,54.6,298,45.4,17523,90661,48291,895,663,243,585,286,21851,1787,51,3,1,433,364,341,10,4,1,1999,569,515,52.5,27,38,35,332,103,31.0,8.74,2.71,0.1,0.31,19.3,15,3,4,30.3,27.1,0.08,4.7,4.9,12794,16703,76.6,221196,80474,5957,6857,86.9,5039,6036,83.5,1311,2614,50.2,26,20.2,19.6,5.8,241,860,188,32,1062,16703,14805,1844,485,15,101,533,821,160,64,52,7,12794,54,381,38.6,20757,2531,7109,9099,4733,565,20753,570,339,59.5,231,40.5,10799,57273,27861,497,384,107,572,381,12689,1055,0.44281045751633985
Crystal Palace,2,38,38,3420,38,66,1.74,174,107,63.8,12,8,18,8,21.1,4,3,1,0,25.0,51.2,0.28,-14.8,-0.39,39,345,127,36.8,9.08,3.34,0.1,0.28,17.6,18,3,4,34.1,31.0,0.09,4.9,5.0,11627,15597,74.5,193706,81274,5889,6882,85.6,4127,5088,81.1,1131,2449,46.2,29,23.6,23.4,5.4,264,838,232,54,1132,15597,13707,1823,473,8,47,533,772,151,67,29,27,11627,67,351,618,16.26,433,54,52,23,46,10,70,1.84,49,5,6,3,5,2,636,366,329,234,73,283,620,45.6,337,447,138,309,396,1032,774,13,40.6,19798,2193,6917,8697,4410,653,19794,645,365,56.6,280,43.4,10226,56545,26885,526,388,151,596,402,11524,1113,56,2,1,409,436,366,2,4,0,1923,685,658,51.0,24,38,66,535,170,31.8,14.08,4.47,0.12,0.37,16.7,29,3,4,58.2,55.1,0.11,7.8,7.9,19019,23089,82.4,325965,104917,8788,9789,89.8,7498,8536,87.8,1917,3121,61.4,47,42.7,37.4,4.3,401,1457,389,113,1807,23089,21282,1761,440,19,246,795,815,230,99,91,9,19019,46,374,59.9,27169,1926,7042,13508,6808,890,27165,620,337,54.4,283,45.6,16162,83958,43503,666,508,140,606,353,18907,1798,0.42452830188679247
Everton,3,38,38,3420,38,48,1.26,161,114,72.0,17,8,13,12,31.6,4,3,0,1,0.0,47.8,0.28,0.8,0.02,45,395,143,36.2,10.39,3.76,0.1,0.29,17.2,15,4,5,45.7,41.9,0.11,-0.7,-0.9,14792,18696,79.1,263227,93921,6563,7438,88.2,6125,7073,86.6,1580,2924,54.0,32,30.7,28.7,1.3,300,944,257,60,1184,18696,17021,1610,426,28,121,662,660,167,93,53,3,14792,65,362,710,18.68,514,67,34,43,46,6,80,2.11,54,9,2,10,5,0,640,381,325,242,73,266,664,40.1,398,458,157,301,392,1032,847,19,46.4,22845,2729,8235,10258,4585,643,22840,591,362,61.3,229,38.7,12603,70612,36337,604,443,105,552,344,14706,1177,59,2,0,386,392,381,4,4,1,2030,665,486,57.8,29,38,47,501,158,31.5,13.18,4.16,0.09,0.28,18.0,23,3,4,50.1,46.9,0.1,-3.1,-2.9,17667,21555,82.0,296851,101275,8437,9335,90.4,7182,8211,87.5,1488,2758,54.0,33,33.8,29.0,-0.8,367,1264,313,59,1664,21555,19747,1766,423,28,136,746,794,226,101,69,9,17667,42,364,53.5,25600,2093,7302,12068,6454,873,25596,664,398,59.9,266,40.1,14327,78959,41468,794,607,181,635,374,17537,1651,0.4046875
Fulham,2,38,38,3420,38,53,1.39,170,118,72.9,5,13,20,9,23.7,7,7,0,0,0.0,54.5,0.29,2.5,0.07,26,436,125,28.7,11.47,3.29,0.05,0.18,18.3,12,3,6,40.5,35.9,0.08,-14.5,-12.9,15401,19512,78.9,270640,94395,6853,7837,87.4,6528,7611,85.8,1529,2866,53.3,18,26.3,25.3,-8.3,334,1019,290,94,1354,19512,17703,1766,469,17,109,710,784,164,54,73,15,15401,43,346,785,20.66,579,65,53,35,47,6,47,1.24,33,2,4,3,4,1,601,329,282,231,88,254,581,43.7,327,356,95,261,437,1038,794,13,49.7,23810,2407,8063,10438,5567,728,23804,795,506,63.6,289,36.4,13417,74354,37397,727,527,156,721,393,15290,1338,67,3,0,484,372,329,5,7,1,2010,649,625,50.9,28,38,52,421,163,38.7,11.08,4.29,0.11,0.28,17.0,27,7,7,52.6,47.2,0.12,-0.6,-2.2,15762,20041,78.6,280391,92136,6859,7867,87.2,6751,7825,86.3,1645,3103,53.0,34,37.4,33.9,-3.4,302,1150,268,82,1327,20041,18089,1849,485,26,116,693,829,192,68,87,5,15762,103,326,50.1,24187,2377,7606,11296,5503,752,24180,581,327,56.3,254,43.7,13534,68983,34518,559,456,139,555,347,15656,1317,0.45257903494176377
Leeds United,2,38,38,3420,38,54,1.42,198,145,76.8,18,5,15,12,31.6,9,8,1,0,11.1,49.9,0.21,-2.1,-0.06,60,518,193,37.3,13.63,5.08,0.11,0.29,16.9,9,4,4,55.6,52.5,0.1,4.4,3.5,16284,20629,78.9,286488,99274,6970,7933,87.9,7130,8308,85.8,1631,3014,54.1,45,41.9,34.4,3.1,394,1110,349,68,1633,20629,18658,1895,467,27,205,786,809,229,115,78,1,16284,76,364,924,24.32,701,73,45,63,31,11,108,2.84,81,6,8,8,5,0,740,417,378,279,83,310,769,40.3,459,406,149,257,397,1137,646,26,57.3,24873,2750,9043,10345,5695,880,24869,563,318,56.5,245,43.5,14066,80443,44866,811,491,158,667,319,16154,1625,61,1,0,432,410,417,3,9,2,2160,538,605,47.1,23,38,52,549,189,34.4,14.45,4.97,0.08,0.23,18.0,20,8,9,57.9,50.7,0.09,-5.9,-6.7,11293,15291,73.9,188301,85040,5672,6628,85.6,3968,4993,79.5,1131,2498,45.3,36,39.3,30.7,-3.3,422,864,277,36,1201,15291,13322,1916,478,20,57,613,807,211,104,92,6,11293,53,312,42.4,19786,2395,6410,8265,5409,875,19777,769,459,59.7,311,40.4,10613,67444,35138,720,557,184,663,431,11160,1188,0.43648648648648647
Leicester City,1,38,38,3420,38,50,1.32,136,88,66.2,20,6,12,11,28.9,4,4,0,0,0.0,42.2,0.29,-5.8,-0.15,64,473,170,35.9,12.45,4.47,0.11,0.32,18.6,20,10,12,55.8,46.3,0.1,8.2,7.7,17014,21216,80.2,285395,94092,7893,8978,87.9,7010,8113,86.4,1461,2737,53.4,45,33.7,30.1,11.3,360,1209,283,57,1464,21216,19423,1722,474,35,92,649,738,212,61,85,5,17014,71,376,863,22.71,635,49,56,46,54,23,114,3.0,85,3,8,4,10,4,681,403,319,263,99,295,676,43.6,381,386,90,296,438,1119,685,9,54.3,25365,2268,7924,11997,5674,772,25353,645,358,55.5,287,44.5,13991,72340,37072,666,481,142,549,322,16883,1455,61,0,0,413,421,403,11,4,2,2111,600,590,50.4,27,38,48,366,132,36.1,9.63,3.47,0.12,0.33,16.1,17,4,4,46.0,42.9,0.12,2.0,1.1,13803,17998,76.7,243608,83750,6134,7146,85.8,5785,6853,84.4,1440,2807,51.3,29,33.0,30.7,-4.0,277,984,267,64,1254,17998,16109,1817,458,26,148,647,831,181,107,54,3,13803,72,352,45.4,22044,2246,7030,10289,4962,656,22040,676,381,56.4,295,43.6,11743,64847,33298,567,452,108,558,386,13694,1237,0.408223201174743
