,players_used,mp,starts,min,90s,ga,ga90,sota,saves,save%,w,d,l,cs,cs%,gpkatt,pka,pksv,pkm,pksave%,psxg,psxg/sot,psxg+/-,/90,gls,sh,sot,sot%,sh/90,sot/90,g/sh,g/sot,dist,fk,pk,pkatt,xg,npxg,npxg/sh,g-xg,np:g-xg,total cmp,total att,total cmp%,total totdist,total prgdist,short cmp,short att,short cmp%,medium cmp,medium att,medium cmp%,long cmp,long att,long cmp%,ast,xag,xa,a-xag,kp,p1/3,ppa,crspa,prgp,patt,plive,dead,pfk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,sca,sca90,sca passlive,sca passdead,sca to,sca sh,sca fld,sca def,gca,gca90,gca passlive,gca passdead,gca to,gca sh,gca fld,gca def,tackles tkl,tackles tklw,tackles def 3rd,tackles mid 3rd,tackles att 3rd,challenges tkl,challenges att,challenges tkl%,challenges lost,blocks blocks,blocks sh,blocks pass,int,tkl+int,clr,err,poss,touches,def pen,def 3rd,mid 3rd,att 3rd,att pen,live,att,succ,succ%,tkld,tkld%,carries,totdist,prgdist,prgc,1/3,cpa,mis,dis,rec,prgr,crdy,crdr,2crdy,fls,fld,tklw,pkwon,pkcon,og,recov,won,lost,won%,opp_players_used,opp_90s,opp_gls,opp_sh,opp_sot,opp_sot%,opp_sh/90,opp_sot/90,opp_g/sh,opp_g/sot,opp_dist,opp_fk,opp_pk,opp_pkatt,opp_xg,opp_npxg,opp_npxg/sh,opp_g-xg,opp_np:g-xg,opp_total cmp,opp_total att,opp_total cmp%,opp_total totdist,opp_total prgdist,opp_short cmp,opp_short att,opp_short cmp%,opp_medium cmp,opp_medium att,opp_medium cmp%,opp_long cmp,opp_long att,opp_long cmp%,opp_ast,opp_xag,opp_xa,opp_a-xag,opp_kp,opp_p1/3,opp_ppa,opp_crspa,opp_prgp,opp_patt,opp_plive,opp_dead,opp_pfk,opp_tb,opp_sw,opp_crs,opp_ti,opp_ck,opp_in,opp_out,opp_str,opp_cmp,opp_off,opp_blocks,opp_poss,opp_touches,opp_def pen,opp_def 3rd,opp_mid 3rd,opp_att 3rd,opp_att pen,opp_live,opp_att,opp_succ,opp_succ%,opp_tkld,opp_tkld%,opp_carries,opp_totdist,opp_prgdist,opp_prgc,opp_1/3,opp_cpa,opp_mis,opp_dis,opp_rec,opp_prgr,tls
Liverpool,3,38,38,3420,38,42,1.11,140,97,72.9,20,9,9,12,31.6,8,4,1,3,20.0,43.9,0.29,1.9,0.05,65,602,204,33.9,15.84,5.37,0.1,0.29,17.1,22,6,6,67.5,62.9,0.11,-2.5,-3.9,21929,26226,83.6,360990,115400,10789,11862,91.0,8747,9940,88.0,1715,2969,57.8,43,48.3,45.6,-5.3,455,1608,524,82,2057,26226,24396,1765,409,44,156,862,811,257,51,147,2,21929,65,357,1068,28.11,818,71,58,61,46,14,110,2.89,77,6,4,14,6,3,526,303,195,231,100,220,543,40.5,323,338,58,280,347,873,563,20,62.1,30073,2075,7215,14867,8242,1211,30067,696,407,58.5,288,41.4,19103,96220,50778,886,754,249,592,387,21796,2041,40,0,0,396,316,303,4,8,0,2202,537,572,48.4,28,38,42,324,135,41.7,8.53,3.55,0.12,0.28,17.4,12,4,8,43.0,36.9,0.12,-1.0,1.1,11888,15987,74.4,211717,83732,5448,6343,85.9,4442,5433,81.8,1470,2956,49.7,29,27.1,19.3,1.9,240,789,198,55,972,15987,14279,1613,431,41,125,531,613,122,70,30,3,11888,95,313,37.6,20453,3150,8670,8259,3747,575,20445,543,323,59.5,220,40.5,9977,53626,26035,539,338,141,565,306,11775,952,0.42395437262357416
Manchester City,3,38,38,3420,38,32,0.84,100,67,76.0,27,5,6,19,50.0,10,8,2,0,20.0,32.0,0.23,1.0,0.03,82,590,211,35.8,15.53,5.55,0.13,0.36,17.2,21,5,9,68.2,61.2,0.11,13.8,15.8,23819,27167,87.7,390212,110951,11548,12409,93.1,9673,10628,91.0,1771,2616,67.7,55,45.4,43.3,9.6,433,1772,412,41,2051,27167,25546,1564,423,38,146,632,656,247,73,86,4,23819,57,320,1067,28.08,801,61,90,57,43,15,141,3.71,100,3,17,13,6,2,498,271,198,212,88,234,576,40.6,342,310,82,228,319,817,453,11,63.5,30700,1912,6477,15960,8504,1196,30691,783,485,61.9,298,38.1,20039,106424,59443,1096,863,340,510,350,23640,2033,46,2,0,361,372,271,7,10,1,1946,479,417,53.5,24,38,31,273,90,33.0,7.18,2.37,0.08,0.26,18.6,15,8,10,30.2,22.3,0.08,0.8,0.7,12270,15654,78.4,210049,76181,5835,6612,88.2,4783,5559,86.0,1198,2471,48.5,17,15.0,14.9,2.0,200,707,180,43,850,15654,14096,1491,391,14,97,426,532,111,56,36,8,12270,67,251,36.1,19457,2984,8113,8067,3501,487,19447,576,342,59.4,231,40.1,10888,58232,28483,537,393,125,501,264,12194,840,0.45582329317269077
Manchester Utd,2,38,38,3420,38,44,1.16,141,98,71.6,21,11,6,13,34.2,4,4,0,0,0.0,39.3,0.25,-2.7,-0.07,70,515,196,38.1,13.55,5.16,0.12,0.31,18.1,21,10,11,60.1,51.4,0.1,9.9,8.6,18800,22624,83.1,310438,100811,9248,10259,90.1,7258,8255,87.9,1597,2585,61.8,51,41.6,38.2,9.4,414,1419,377,54,1832,22624,20810,1738,433,34,211,640,760,197,83,87,4,18800,76,401,953,25.08,720,73,46,58,46,10,127,3.34,94,5,8,9,9,2,551,311,252,239,60,231,572,40.4,341,418,116,302,386,937,634,20,55.7,26617,2222,7609,11950,7323,921,26606,711,415,58.4,293,41.2,15481,88886,47495,877,666,201,536,360,18671,1817,64,1,0,452,400,311,9,4,2,2124,546,413,56.9,29,38,42,424,137,32.3,11.16,3.61,0.09,0.28,17.8,14,4,4,41.4,38.4,0.09,0.6,-0.4,14217,18081,78.6,248094,86185,6334,7157,88.5,6059,6998,86.6,1350,2750,49.1,28,28.7,23.7,-0.7,314,983,241,58,1229,18081,16354,1667,504,18,121,617,648,162,89,45,2,14217,60,345,44.2,22325,2587,8167,9359,5007,700,22321,578,341,59.0,237,41.0,11878,62186,30690,573,389,158,540,314,14115,1220,0.43557168784029043
Newcastle Utd,2,38,38,3420,38,62,1.63,188,128,69.1,12,9,17,7,18.4,5,4,1,0,20.0,53.8,0.26,-5.2,-0.14,44,390,130,33.3,10.26,3.42,0.1,0.29,18.3,25,6,7,43.4,37.8,0.1,0.6,0.2,10839,14709,73.7,197161,77098,4828,5635,85.7,4197,5131,81.8,1387,2879,48.2,26,29.0,21.1,-3.0,289,739,207,83,903,14709,12864,1787,464,12,122,652,724,161,67,51,20,10839,58,321,688,18.11,454,85,51,36,56,6,75,1.97,46,7,6,7,7,2,512,268,257,213,42,207,547,37.8,340,423,160,263,362,874,908,10,38.8,18774,2524,7166,7894,3941,552,18767,587,350,59.6,237,40.4,9605,51309,24707,467,376,114,519,297,10730,888,65,3,2,388,420,268,6,5,3,1770,634,655,49.2,27,38,59,567,183,32.3,14.92,4.82,0.1,0.3,17.7,17,4,5,58.3,54.4,0.1,0.7,0.6,19529,23488,83.1,331914,107230,9151,10102,90.6,7970,9045,88.1,1779,3027,58.8,41,40.5,38.1,0.5,435,1562,377,82,1771,23488,21775,1643,420,19,136,844,723,226,108,80,5,19529,70,325,61.8,27300,2012,6945,13456,7127,997,27295,548,340,62.0,207,37.8,15912,84335,43945,851,628,192,554,305,19388,1756,0.4765625
Sheffield Utd,1,38,38,3420,38,63,1.66,206,145,70.9,7,2,29,5,13.2,4,3,0,1,0.0,54.3,0.26,-5.7,-0.15,19,319,92,28.8,8.39,2.42,0.05,0.17,17.7,5,3,4,32.6,29.5,0.09,-13.6,-13.5,12146,16264,74.7,207510,78589,6006,6905,87.0,4331,5303,81.7,1277,2840,45.0,13,24.9,22.0,-11.9,253,946,253,65,1196,16264,14542,1649,347,13,115,666,750,170,118,29,4,12146,73,308,567,14.92,435,48,27,29,23,5,27,0.71,16,3,2,3,3,0,634,356,325,239,70,294,720,40.8,426,442,152,290,351,985,839,19,41.7,20351,2314,6405,8599,5537,615,20347,475,269,56.6,207,43.6,10178,54344,27029,491,398,104,536,323,12037,1183,73,3,0,459,293,356,3,4,3,1802,718,798,47.4,27,38,60,539,203,37.7,14.18,5.34,0.11,0.28,17.5,24,3,4,62.2,59.1,0.11,-2.2,-2.1,18988,23109,82.2,332024,108633,8549,9548,89.5,7891,8978,87.9,1931,3231,59.8,45,45.0,38.5,0.0,415,1211,322,62,1606,23109,21188,1864,502,24,163,718,841,243,81,101,18,18988,57,340,58.5,26977,2292,8278,12514,6434,912,26973,720,426,59.2,294,40.8,15796,83459,44671,828,570,190,553,340,18866,1597,0.43848580441640383
Southampton,2,38,38,3420,38,68,1.79,178,110,66.3,12,7,19,9,23.7,9,8,1,0,11.1,56.2,0.27,-10.8,-0.28,47,418,157,37.6,11.0,4.13,0.1,0.27,18.6,20,5,6,41.2,36.6,0.09,5.8,5.4,14928,19288,77.4,239028,85450,7587,8659,87.6,5629,6690,84.1,1099,2547,43.1,33,25.8,22.2,7.2,294,894,261,36,1195,19288,17388,1824,496,16,87,554,809,177,82,79,8,14928,76,343,728,19.16,513,63,42,47,51,12,83,2.18,49,8,6,7,11,2,727,419,335,325,67,341,731,46.6,390,439,95,344,401,1128,681,10,52.0,23607,2302,7497,11566,4756,698,23601,601,343,57.1,258,42.9,12535,66172,33536,626,517,126,638,386,14818,1190,52,3,0,428,421,419,4,9,1,2010,527,713,42.5,29,38,67,419,169,40.3,11.03,4.45,0.14,0.35,16.7,15,8,9,53.1,46.1,0.11,13.9,12.9,13758,18167,75.7,242975,90628,6165,7308,84.4,5661,6801,83.2,1460,2755,53.0,44,34.6,30.0,9.4,316,1025,297,63,1407,18167,16217,1861,465,25,120,667,873,196,72,55,11,13758,89,390,47.8,22361,2207,7097,10104,5351,831,22352,731,390,53.4,341,46.6,11913,57801,27190,555,407,187,600,386,13664,1389,0.4236588720770289
Tottenham,1,38,38,3420,38,45,1.18,155,113,77.4,18,8,12,12,31.6,10,10,0,0,0.0,45.6,0.24,3.6,0.1,66,438,167,38.1,11.53,4.39,0.14,0.37,18.0,35,5,5,53.1,49.2,0.12,12.9,11.8,16508,20571,80.2,274912,94098,7801,8828,88.4,6561,7603,86.3,1393,2672,52.1,50,35.3,25.3,14.7,316,1035,257,54,1330,20571,18738,1788,524,28,147,526,750,168,117,37,0,16508,45,361,786,20.68,553,55,56,49,56,17,120,3.16,86,6,13,8,6,1,636,361,313,244,79,277,683,40.6,406,434,147,287,342,978,795,15,51.6,24670,2577,7991,11935,4997,700,24665,715,403,56.4,312,43.6,13842,73058,37183,633,506,152,519,334,16404,1316,57,2,2,440,468,361,5,10,3,1951,618,647,48.9,24,38,42,476,145,30.5,12.53,3.82,0.07,0.22,17.4,9,10,10,49.1,41.2,0.09,-7.1,-9.2,15362,19385,79.2,259562,90518,7308,8243,88.7,6007,7044,85.3,1461,2785,52.5,24,31.8,31.9,-7.8,376,1138,345,77,1514,19385,17666,1643,463,11,109,754,656,201,92,65,12,15362,76,344,48.3,23499,2113,6735,10940,6067,901,23489,683,406,59.4,277,40.6,13448,73391,36871,723,561,196,591,359,15238,1499,0.4323899371069182
West Brom,2,38,38,3420,38,76,2.0,240,166,71.3,5,11,22,6,15.8,11,7,1,3,12.5,68.0,0.25,-5.0,-0.13,33,335,106,31.6,8.82,2.79,0.09,0.27,18.4,16,4,4,35.8,32.7,0.1,-2.8,-3.7,9769,13978,69.9,177501,75746,4418,5278,83.7,3696,4783,77.3,1273,2924,43.5,20,24.4,21.3,-4.4,241,822,196,60,1027,13978,12147,1756,463,13,105,604,727,144,75,21,16,9769,75,275,568,14.95,407,60,26,27,39,9,53,1.39,40,3,1,3,5,1,581,328,329,192,60,271,656,41.3,385,455,159,296,435,1016,876,13,37.9,18247,2539,6670,7517,4237,578,18242,505,264,52.3,241,47.7,8262,44861,21527,441,283,103,613,313,9668,1017,51,4,0,404,412,328,4,11,3,1963,709,771,47.9,30,38,73,588,232,39.5,15.47,6.11,0.11,0.28,17.7,24,7,11,67.9,59.3,0.1,5.1,6.7,18892,23277,81.2,316702,107899,9018,10152,88.8,7663,8828,86.8,1599,2948,54.2,52,44.1,42.0,7.9,452,1470,395,84,1802,23277,21362,1855,441,32,138,841,822,266,129,99,8,18892,60,355,62.4,27177,2092,7386,12659,7357,1039,27166,656,385,58.7,271,41.3,15605,87962,48418,931,719,209,585,310,18747,1778,0.4354561101549054
West Ham,2,38,38,3420,38,47,1.24,147,103,70.1,19,8,11,11,28.9,5,3,1,1,25.0,42.0,0.27,-1.0,-0.03,60,464,158,34.1,12.21,4.16,0.13,0.37,16.1,17,2,4,55.4,52.1,0.12,4.6,5.9,12725,16901,75.3,225666,88791,5888,6864,85.8,4948,6052,81.8,1470,2860,51.4,46,39.6,31.9,6.4,340,1037,238,95,1282,16901,15140,1687,398,15,109,775,741,167,92,60,1,12725,74,357,823,21.66,576,92,37,56,53,9,106,2.79,73,12,1,13,7,0,514,280,269,195,50,224,573,39.1,349,405,124,281,437,951,779,11,43.2,20810,2294,6638,9343,5060,761,20806,542,298,55.0,244,45.0,10960,63334,30416,658,455,152,491,318,12606,1263,50,3,1,375,354,280,3,5,4,2005,738,677,52.2,24,38,43,459,143,31.2,12.08,3.76,0.09,0.28,18.2,18,3,5,48.7,44.8,0.1,-5.7,-4.8,18302,22463,81.5,304474,101522,8776,9741,90.1,7354,8481,86.7,1485,2815,52.8,34,36.6,32.8,-2.6,359,1427,353,83,1698,22463,20785,1619,425,34,114,740,670,182,85,59,9,18302,59,339,57.1,26356,2267,7385,12947,6280,847,26350,573,349,60.9,224,39.1,15829,87826,46685,826,630,169,554,290,18163,1679,0.4552529182879378
Wolves,2,38,38,3420,38,52,1.37,152,102,70.4,12,9,17,10,26.3,8,7,1,0,12.5,46.2,0.25,-2.8,-0.07,34,459,149,32.5,12.08,3.92,0.07,0.2,18.5,18,4,4,36.5,33.4,0.08,-2.5,-3.4,15548,19225,80.9,275061,93014,6990,7796,89.7,6320,7342,86.1,1742,2944,59.2,21,24.1,23.9,-3.1,345,1117,213,85,1283,19225,17437,1751,444,20,141,775,735,208,65,70,3,15548,37,336,821,21.61,572,74,68,47,46,14,63,1.66,39,4,7,7,5,1,588,335,322,220,46,277,611,45.3,334,359,117,242,432,1020,727,15,49.3,23259,2190,7246,11020,5206,694,23255,779,468,60.1,311,39.9,13272,72908,38578,800,566,177,592,309,15405,1266,55,1,1,426,383,335,3,8,3,1899,576,596,49.1,27,38,49,434,144,33.2,11.42,3.79,0.1,0.29,17.0,18,7,8,49.5,43.2,0.1,-0.5,-1.2,16265,19966,81.5,278356,95675,7713,8610,89.6,6476,7483,86.5,1534,2713,56.5,34,31.1,30.4,2.9,326,1166,324,71,1574,19966,18258,1643,434,28,148,736,676,185,76,67,7,16265,65,290,50.7,23862,2112,6459,11712,5889,832,23854,611,334,54.7,277,45.3,13749,74078,39322,698,525,152,509,311,16144,1555,0.4302721088435374
