,0,1
0,162,Crystal Palace
1,13,Arsenal
2,170,Fulham
3,26,Liverpool
4,183,Bournemouth
5,24,Aston Villa
6,19,Leeds
7,161,Wolves
8,14,Leicester
9,189,Brentford
10,23,Newcastle
11,174,Nottingham Forest
12,30,Tottenham
13,18,Southampton
14,31,Everton
15,15,Chelsea
16,32,Man Utd
17,211,Brighton
18,29,West Ham
19,167,Man City
