,players_used,mp,starts,min,90s,ga,ga90,sota,saves,save%,w,d,l,cs,cs%,gpkatt,pka,pksv,pkm,pksave%,psxg,psxg/sot,psxg+/-,/90,gls,sh,sot,sot%,sh/90,sot/90,g/sh,g/sot,dist,fk,pk,pkatt,xg,npxg,npxg/sh,g-xg,np:g-xg,total cmp,total att,total cmp%,total totdist,total prgdist,short cmp,short att,short cmp%,medium cmp,medium att,medium cmp%,long cmp,long att,long cmp%,ast,xag,xa,a-xag,kp,p1/3,ppa,crspa,prgp,patt,plive,dead,pfk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,sca,sca90,sca passlive,sca passdead,sca to,sca sh,sca fld,sca def,gca,gca90,gca passlive,gca passdead,gca to,gca sh,gca fld,gca def,tackles tkl,tackles tklw,tackles def 3rd,tackles mid 3rd,tackles att 3rd,challenges tkl,challenges att,challenges tkl%,challenges lost,blocks blocks,blocks sh,blocks pass,int,tkl+int,clr,err,poss,touches,def pen,def 3rd,mid 3rd,att 3rd,att pen,live,att,succ,succ%,tkld,tkld%,carries,totdist,prgdist,prgc,1/3,cpa,mis,dis,rec,prgr,crdy,crdr,2crdy,fls,fld,tklw,pkwon,pkcon,og,recov,won,lost,won%,opp_players_used,opp_90s,opp_gls,opp_sh,opp_sot,opp_sot%,opp_sh/90,opp_sot/90,opp_g/sh,opp_g/sot,opp_dist,opp_fk,opp_pk,opp_pkatt,opp_xg,opp_npxg,opp_npxg/sh,opp_g-xg,opp_np:g-xg,opp_total cmp,opp_total att,opp_total cmp%,opp_total totdist,opp_total prgdist,opp_short cmp,opp_short att,opp_short cmp%,opp_medium cmp,opp_medium att,opp_medium cmp%,opp_long cmp,opp_long att,opp_long cmp%,opp_ast,opp_xag,opp_xa,opp_a-xag,opp_kp,opp_p1/3,opp_ppa,opp_crspa,opp_prgp,opp_patt,opp_plive,opp_dead,opp_pfk,opp_tb,opp_sw,opp_crs,opp_ti,opp_ck,opp_in,opp_out,opp_str,opp_cmp,opp_off,opp_blocks,opp_poss,opp_touches,opp_def pen,opp_def 3rd,opp_mid 3rd,opp_att 3rd,opp_att pen,opp_live,opp_att,opp_succ,opp_succ%,opp_tkld,opp_tkld%,opp_carries,opp_totdist,opp_prgdist,opp_prgc,opp_1/3,opp_cpa,opp_mis,opp_dis,opp_rec,opp_prgr,tls
Manchester City,2,38,38,3418,38,35,0.92,110,76,70.9,26,3,9,17,44.7,3,3,0,0,0.0,34.1,0.29,0.1,0.0,100,735,250,34.0,19.34,6.58,0.13,0.38,16.4,27,6,11,92.0,83.6,0.12,8.0,10.4,24557,28190,87.1,410039,117432,11773,12714,92.6,9821,10885,90.2,2121,2963,71.6,69,68.4,62.7,0.6,582,1819,553,89,2460,28190,26549,1573,352,85,243,915,684,298,113,54,7,24557,68,329,1356,35.68,1040,72,101,75,53,15,173,4.55,123,6,16,14,12,2,514,301,204,210,100,230,605,38.0,375,292,66,226,352,866,495,21,66.2,31884,2009,6806,15609,9720,1473,31873,721,487,67.5,235,32.6,23022,118327,66426,1199,964,377,456,341,24428,2453,64,4,2,362,296,301,10,3,1,1959,515,498,50.8,24,38,34,277,107,38.6,7.29,2.82,0.11,0.29,16.6,18,3,3,36.2,34.6,0.13,-2.2,-3.6,10925,14396,75.9,193906,72013,5103,5826,87.6,4277,5020,85.2,1215,2603,46.7,25,23.1,19.5,1.9,199,662,168,40,801,14396,12728,1585,399,37,112,420,570,97,44,35,4,10925,83,254,33.8,18612,3315,8332,7160,3313,501,18609,605,375,62.0,230,38.0,9773,51720,25801,448,324,121,484,284,10844,793,0.414396887159533
Newcastle Utd,1,38,38,3420,38,58,1.53,195,139,71.3,11,11,16,11,28.9,2,2,0,0,0.0,63.0,0.32,7.0,0.18,38,398,132,33.2,10.47,3.47,0.1,0.29,19.1,14,0,1,35.5,34.8,0.09,2.5,3.2,10606,14566,72.8,189511,75573,4963,5792,85.7,3781,4800,78.8,1351,2818,47.9,29,26.9,19.1,2.1,299,685,181,62,844,14566,12726,1765,463,18,151,591,715,151,68,45,13,10606,75,304,705,18.55,491,75,55,38,37,9,62,1.63,41,6,4,6,4,1,603,357,364,198,41,273,632,43.2,359,402,152,250,391,994,988,19,39.0,18910,2401,7096,8182,3875,542,18909,674,400,59.3,274,40.7,9916,54616,27300,537,426,138,594,288,10525,826,66,3,0,370,423,357,0,2,2,1871,733,781,48.4,28,38,56,564,193,34.2,14.84,5.08,0.1,0.28,16.5,20,2,2,65.6,64.0,0.12,-9.6,-10.0,19474,23531,82.8,339292,109168,8883,9936,89.4,8230,9358,87.9,1849,3083,60.0,38,50.4,47.6,-12.4,444,1593,362,77,1882,23531,21702,1777,417,51,179,868,820,252,126,80,6,19474,52,322,61.0,27554,1870,6190,14017,7574,1006,27552,632,359,56.8,273,43.2,16873,89007,45990,808,663,196,620,330,19370,1868,0.4079601990049751
Crystal Palace,2,38,38,3420,38,50,1.32,172,124,70.9,11,10,17,10,26.3,1,0,0,1,,55.7,0.34,7.7,0.2,29,373,115,30.8,9.82,3.03,0.07,0.23,17.0,15,3,3,35.8,33.6,0.09,-6.8,-7.6,12274,16395,74.9,212859,86923,5857,6822,85.9,4679,5712,81.9,1307,2747,47.6,20,26.0,24.4,-6.0,265,910,243,47,1223,16395,14377,1965,501,19,79,588,886,177,93,32,36,12274,53,318,643,16.92,427,68,57,36,46,9,53,1.39,37,3,4,4,5,0,686,390,367,244,75,316,711,44.4,395,399,135,264,444,1130,856,18,44.8,20928,2377,7276,9017,4876,793,20925,698,432,61.9,266,38.1,10305,58519,29301,596,428,198,611,479,12187,1208,62,2,0,424,479,390,2,1,2,1915,771,776,49.8,25,38,48,511,172,33.7,13.45,4.53,0.09,0.28,17.1,25,0,1,57.0,56.2,0.11,-9.0,-8.2,16178,20387,79.4,283124,96926,7477,8506,87.9,6428,7601,84.6,1703,2988,57.0,36,40.0,36.7,-4.0,380,1280,328,81,1690,20387,18460,1896,452,34,190,843,888,235,128,79,5,16178,31,340,55.2,24860,2097,6741,11771,6538,898,24859,711,395,55.6,316,44.4,14378,77660,42198,769,609,171,604,370,16070,1676,0.4314868804664723
West Ham,4,38,38,3420,38,62,1.63,187,127,69.5,10,9,19,7,18.4,6,5,1,0,16.7,60.5,0.3,1.5,0.04,49,413,156,37.8,10.87,4.11,0.11,0.29,16.4,13,4,4,48.6,45.4,0.11,0.4,-0.4,12451,16861,73.8,221660,89417,6048,7124,84.9,4538,5680,79.9,1515,2997,50.6,36,36.7,33.4,-0.7,328,1083,244,80,1377,16861,14967,1828,432,38,156,737,815,190,111,54,6,12451,66,358,735,19.34,514,78,42,42,47,12,89,2.34,62,7,5,7,8,0,696,417,374,263,59,300,745,40.3,445,383,117,266,421,1117,789,16,44.1,20992,2159,6259,9681,5265,746,20988,663,397,59.9,264,39.8,11154,62359,30132,666,485,168,496,322,12348,1370,64,1,1,387,345,417,3,6,3,2052,855,801,51.6,29,38,59,495,181,36.6,13.03,4.76,0.11,0.3,16.4,13,5,6,63.8,59.1,0.12,-4.8,-5.1,17330,21591,80.3,296808,102799,8104,9093,89.1,7074,8231,85.9,1603,2924,54.8,49,48.7,41.1,0.3,388,1332,376,96,1724,21591,19739,1753,427,60,140,770,768,219,115,57,8,17330,99,327,55.9,25818,2189,7242,12451,6371,938,25812,745,445,59.7,300,40.3,15254,83499,44580,855,644,178,525,396,17194,1712,0.4008620689655172
Burnley,1,38,38,3420,38,50,1.32,167,117,72.5,15,9,14,15,39.5,5,4,1,0,20.0,45.7,0.25,-3.3,-0.09,41,384,124,32.3,10.11,3.26,0.1,0.31,16.4,18,3,3,47.4,45.3,0.12,-6.4,-7.3,10049,14694,68.4,181797,76083,4700,5595,84.0,3686,4854,75.9,1295,3221,40.2,30,32.4,28.5,-2.4,280,787,217,99,890,14694,12767,1838,408,29,99,743,868,170,158,1,0,10049,89,287,667,17.55,459,83,27,44,45,9,71,1.87,47,10,4,6,3,1,547,344,238,241,68,240,585,41.0,345,450,175,275,387,934,901,15,41.9,18827,2224,5596,8993,4410,617,18823,454,246,54.2,208,45.8,8828,46545,21653,437,352,71,509,291,9969,882,67,0,0,412,369,344,1,5,1,1860,937,917,50.5,22,38,49,534,162,30.3,14.05,4.26,0.08,0.28,18.3,22,4,5,49.8,45.8,0.09,-0.8,-0.8,15824,20627,76.7,268946,94434,7570,8683,87.2,6129,7430,82.5,1544,3175,48.6,38,36.6,31.9,1.4,403,1105,352,86,1544,20627,18589,1988,471,46,177,820,922,238,93,59,12,15824,50,353,58.1,24517,2323,7873,10580,6246,895,24512,585,345,59.0,240,41.0,14297,77390,41013,857,569,231,518,307,15690,1528,0.3711151736745887
Liverpool,2,38,38,3418,38,33,0.87,107,75,70.1,32,3,3,15,39.5,1,1,0,0,0.0,27.1,0.25,-4.9,-0.13,83,586,224,38.2,15.42,5.89,0.13,0.35,16.5,20,5,5,68.9,65.0,0.11,14.1,13.0,21276,25891,82.2,370796,117058,9557,10648,89.8,9007,10345,87.1,2038,3458,58.9,69,53.0,46.8,16.0,454,1630,477,93,1941,25891,23952,1886,440,68,283,896,879,257,63,125,2,21276,53,343,1044,27.47,800,77,60,54,36,17,148,3.89,108,11,10,9,8,2,550,325,195,243,112,217,588,36.9,371,302,68,234,352,902,634,25,62.9,29748,2077,7168,14888,7908,1193,29743,658,387,58.8,271,41.2,20165,94607,50195,967,782,252,607,306,21151,1925,38,1,0,331,293,325,4,1,1,2194,655,588,52.7,24,38,32,340,106,31.2,8.95,2.79,0.09,0.29,17.2,5,1,1,37.7,36.9,0.11,-5.7,-5.9,10923,15242,71.7,191418,77636,5234,6146,85.2,4041,5171,78.1,1253,2832,44.2,23,29.6,22.2,-6.6,254,667,195,60,949,15242,13360,1740,364,54,135,551,742,160,77,47,3,10923,142,292,37.1,19713,3135,8296,7801,3830,557,19712,589,371,63.0,217,36.8,10107,52721,26527,514,388,146,540,332,10834,932,0.409090909090909
Leicester City,1,38,38,3420,38,41,1.08,135,94,75.6,18,8,12,13,34.2,10,8,2,0,20.0,44.3,0.26,5.3,0.14,65,533,183,34.3,14.03,4.82,0.11,0.33,17.4,20,5,7,62.2,56.7,0.11,2.8,3.3,17600,21800,80.7,304569,102390,8018,9016,88.9,7415,8600,86.2,1655,2913,56.8,48,44.9,35.3,3.1,405,1283,313,72,1612,21800,19817,1919,495,68,126,779,883,221,70,100,7,17600,64,368,969,25.5,707,73,75,48,56,10,116,3.05,91,3,11,4,5,2,742,432,347,320,75,298,725,41.1,427,420,92,328,423,1165,767,16,57.1,26247,2187,7814,12226,6415,925,26240,688,377,54.8,311,45.2,16018,77180,39583,739,561,223,602,328,17485,1601,43,3,1,418,444,432,6,10,2,2104,659,674,49.4,24,38,39,368,125,34.0,9.68,3.29,0.08,0.25,17.5,21,8,10,45.5,37.7,0.1,-6.5,-6.7,12319,16545,74.5,215679,83904,5972,6985,85.5,4442,5529,80.3,1439,2821,51.0,26,29.2,27.5,-3.2,290,909,254,71,1214,16545,14485,1995,448,43,184,647,974,175,104,49,7,12319,65,403,43.0,20944,2337,6652,9396,5129,670,20934,725,427,58.9,298,41.1,11229,60961,30620,653,512,133,639,444,12236,1205,0.4177897574123989
Brighton,1,38,38,3420,38,54,1.42,168,116,69.0,9,14,15,9,23.7,2,2,0,0,0.0,50.2,0.29,-1.8,-0.05,35,460,139,30.2,12.11,3.66,0.07,0.24,17.6,11,1,2,45.4,43.8,0.1,-10.4,-9.8,15881,20056,79.2,290667,102483,6755,7803,86.6,7139,8265,86.4,1701,3003,56.6,24,31.6,27.3,-7.6,343,1124,294,62,1675,20056,18194,1791,394,34,200,689,853,178,78,78,0,15881,71,365,804,21.16,599,73,39,48,40,5,65,1.71,44,9,5,2,5,0,641,379,295,269,77,245,642,38.2,397,437,137,300,419,1060,750,15,52.2,24387,2721,8174,10724,5693,770,24385,584,335,57.4,249,42.6,13074,73950,37898,669,502,165,626,399,15782,1661,59,2,1,386,325,379,2,2,2,2065,690,577,54.5,25,38,52,496,166,33.5,13.05,4.37,0.1,0.3,16.3,20,2,2,55.0,53.4,0.11,-3.0,-3.4,14322,18458,77.6,247084,86934,6790,7740,87.7,5484,6563,83.6,1527,2904,52.6,42,43.1,32.0,-1.1,376,992,297,63,1342,18458,16526,1862,428,38,195,676,843,204,110,52,3,14322,70,356,47.8,22698,2286,7201,10219,5513,873,22696,642,397,61.8,245,38.2,12826,70721,36753,773,514,223,550,396,14192,1325,0.4087363494539782
Manchester Utd,1,38,38,3420,38,36,0.95,131,96,74.8,18,12,8,13,34.2,3,3,0,0,0.0,34.7,0.25,-0.3,-0.01,65,530,201,37.9,13.95,5.29,0.1,0.27,19.1,33,10,14,62.2,51.2,0.1,2.8,3.8,17744,21725,81.7,294732,95208,8697,9751,89.2,6891,7957,86.6,1555,2646,58.8,43,38.5,36.2,4.5,402,1350,341,50,1788,21725,19836,1833,466,64,171,635,822,204,86,63,11,17744,56,381,978,25.74,766,50,62,36,56,8,112,2.95,86,4,7,2,12,1,579,333,267,231,81,254,634,40.1,380,360,99,261,379,958,703,14,55.8,25838,2167,7222,11840,6993,878,25824,747,446,59.7,301,40.3,14498,83016,46282,926,681,255,559,396,17632,1779,73,0,0,423,427,333,12,3,1,2084,557,512,52.1,29,38,35,387,128,33.1,10.18,3.37,0.08,0.25,17.8,23,3,3,37.7,35.3,0.09,-2.7,-3.3,13147,17274,76.1,227370,83853,6180,7080,87.3,5020,6073,82.7,1402,2837,49.4,24,25.2,22.4,-1.2,275,912,209,56,1204,17274,15381,1826,451,35,162,692,775,186,95,45,3,13147,67,345,44.2,21522,2443,7158,9321,5282,698,21519,634,380,59.9,254,40.1,11798,62581,30744,648,501,176,572,325,13041,1184,0.4248704663212435
Sheffield Utd,2,38,38,3420,38,39,1.03,139,99,72.7,14,12,12,13,34.2,3,1,1,1,50.0,43.7,0.32,4.7,0.12,36,352,109,31.0,9.26,2.87,0.1,0.32,15.2,4,1,1,43.0,42.2,0.12,-7.0,-7.2,12125,16858,71.9,222335,83887,5714,6687,85.4,4480,5657,79.2,1579,3404,46.4,25,34.0,29.7,-9.0,269,1053,282,97,1352,16858,14962,1818,375,15,206,866,882,212,150,18,18,12125,78,341,630,16.58,457,62,44,38,23,6,63,1.66,47,3,6,6,1,0,611,377,304,229,78,261,646,40.4,385,336,106,230,420,1031,931,16,43.1,21000,2180,6190,8918,6070,733,20999,535,346,64.7,187,35.0,9508,48303,23773,493,375,116,519,292,12015,1334,63,2,1,412,306,377,1,3,0,2041,946,886,51.6,26,38,39,428,137,32.0,11.26,3.61,0.09,0.28,17.6,24,1,3,51.0,48.6,0.12,-12.0,-10.6,17999,22602,79.6,316412,102270,8160,9268,88.0,7419,8694,85.3,1854,3409,54.4,28,38.1,31.4,-10.1,326,1150,258,60,1420,22602,20552,1993,455,48,210,761,946,218,99,72,9,17999,57,295,56.9,26644,2500,8708,12112,6017,797,26641,647,385,59.5,261,40.3,15689,84647,45113,840,596,191,550,349,17867,1410,0.3829787234042553
