,players_used,mp,starts,min,90s,ga,ga90,sota,saves,save%,w,d,l,cs,cs%,gpkatt,pka,pksv,pkm,pksave%,psxg,psxg/sot,psxg+/-,/90,gls,sh,sot,sot%,sh/90,sot/90,g/sh,g/sot,dist,fk,pk,pkatt,xg,npxg,npxg/sh,g-xg,np:g-xg,total cmp,total att,total cmp%,total totdist,total prgdist,short cmp,short att,short cmp%,medium cmp,medium att,medium cmp%,long cmp,long att,long cmp%,ast,xag,xa,a-xag,kp,p1/3,ppa,crspa,prgp,patt,plive,dead,pfk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,sca,sca90,sca passlive,sca passdead,sca to,sca sh,sca fld,sca def,gca,gca90,gca passlive,gca passdead,gca to,gca sh,gca fld,gca def,tackles tkl,tackles tklw,tackles def 3rd,tackles mid 3rd,tackles att 3rd,challenges tkl,challenges att,challenges tkl%,challenges lost,blocks blocks,blocks sh,blocks pass,int,tkl+int,clr,err,poss,touches,def pen,def 3rd,mid 3rd,att 3rd,att pen,live,att,succ,succ%,tkld,tkld%,carries,totdist,prgdist,prgc,1/3,cpa,mis,dis,rec,prgr,crdy,crdr,2crdy,fls,fld,tklw,pkwon,pkcon,og,recov,won,lost,won%,opp_players_used,opp_90s,opp_gls,opp_sh,opp_sot,opp_sot%,opp_sh/90,opp_sot/90,opp_g/sh,opp_g/sot,opp_dist,opp_fk,opp_pk,opp_pkatt,opp_xg,opp_npxg,opp_npxg/sh,opp_g-xg,opp_np:g-xg,opp_total cmp,opp_total att,opp_total cmp%,opp_total totdist,opp_total prgdist,opp_short cmp,opp_short att,opp_short cmp%,opp_medium cmp,opp_medium att,opp_medium cmp%,opp_long cmp,opp_long att,opp_long cmp%,opp_ast,opp_xag,opp_xa,opp_a-xag,opp_kp,opp_p1/3,opp_ppa,opp_crspa,opp_prgp,opp_patt,opp_plive,opp_dead,opp_pfk,opp_tb,opp_sw,opp_crs,opp_ti,opp_ck,opp_in,opp_out,opp_str,opp_cmp,opp_off,opp_blocks,opp_poss,opp_touches,opp_def pen,opp_def 3rd,opp_mid 3rd,opp_att 3rd,opp_att pen,opp_live,opp_att,opp_succ,opp_succ%,opp_tkld,opp_tkld%,opp_carries,opp_totdist,opp_prgdist,opp_prgc,opp_1/3,opp_cpa,opp_mis,opp_dis,opp_rec,opp_prgr,tls
Southampton,2,38,38,3420,38,60,1.58,168,108,66.1,15,7,16,9,23.7,4,3,1,0,25.0,54.7,0.31,-4.3,-0.11,51,494,171,34.6,13.0,4.5,0.1,0.29,17.8,27,2,5,56.1,52.1,0.11,-5.1,-3.1,12488,17468,71.5,218809,83466,5869,7035,83.4,5027,6478,77.6,1240,2921,42.5,32,36.4,28.7,-4.4,340,1019,282,70,1335,17468,15450,1960,448,27,133,690,950,210,106,87,5,12488,58,331,843,22.18,560,74,70,53,60,26,77,2.03,41,3,15,8,7,3,706,416,325,287,94,324,793,40.9,469,488,124,364,425,1131,867,21,48.9,22200,2123,6196,10753,5497,811,22196,680,423,62.2,257,37.8,10579,58592,29795,628,459,182,654,362,12363,1308,55,4,1,450,388,416,4,4,1,2150,810,878,48.0,25,38,59,448,164,36.6,11.79,4.32,0.13,0.34,16.6,13,3,4,52.8,49.6,0.11,6.2,6.4,13419,18481,72.6,242017,92050,5891,7104,82.9,5607,7101,79.0,1529,3057,50.0,41,38.7,31.2,2.3,333,1041,301,79,1453,18481,16297,2115,481,37,130,737,1032,222,92,66,5,13419,69,419,51.1,22982,2401,7769,9935,5478,866,22977,794,469,59.1,324,40.8,12385,63277,31887,644,431,199,627,382,13308,1437,0.4107648725212465
Aston Villa,4,38,38,3420,38,67,1.76,182,115,65.9,9,8,21,7,18.4,6,5,1,0,16.7,51.6,0.25,-14.4,-0.38,40,453,147,32.5,11.92,3.87,0.09,0.27,17.5,21,1,3,44.3,41.8,0.09,-4.3,-2.8,11652,15672,74.3,217478,84204,5074,5895,86.1,4810,5882,81.8,1480,3002,49.3,32,34.2,27.7,-2.2,369,908,270,95,1247,15672,13604,2006,562,17,153,798,797,200,109,34,8,11652,62,307,828,21.79,599,88,42,36,56,7,72,1.89,48,8,5,4,7,0,523,291,285,174,64,223,597,37.4,374,456,184,272,423,946,928,26,44.1,19977,2658,7038,8203,4969,695,19974,569,352,61.9,217,38.1,10317,61373,31557,639,476,139,546,313,11546,1229,70,1,1,451,525,291,2,6,1,1900,705,742,48.7,28,38,66,602,176,29.2,15.84,4.63,0.1,0.35,16.8,21,5,6,67.8,63.0,0.11,-1.8,-2.0,16142,20266,79.7,279743,100721,7760,8725,88.9,6185,7276,85.0,1661,2984,55.7,44,46.6,39.9,-2.6,458,1350,383,74,1823,20266,18345,1878,481,48,172,857,803,242,101,87,7,16142,43,370,55.9,24385,2244,6762,10847,6995,1124,24379,597,374,62.6,223,37.4,14320,76343,41258,838,606,257,528,300,16041,1805,0.4435946462715104
Tottenham,2,38,38,3420,38,47,1.24,181,134,76.8,16,11,11,8,21.1,7,5,2,0,28.6,53.0,0.26,8.0,0.21,56,440,154,35.0,11.58,4.05,0.12,0.34,18.4,21,3,4,47.9,44.7,0.1,8.1,8.3,16101,20296,79.3,268557,90635,7859,8877,88.5,6303,7463,84.5,1350,2655,50.8,39,32.6,28.2,6.4,339,1077,283,47,1410,20296,18404,1826,464,79,113,641,785,200,116,51,1,16101,66,344,779,20.5,589,43,54,37,38,18,94,2.47,62,3,13,10,4,2,665,415,331,281,53,253,681,37.2,428,441,148,293,381,1046,894,24,52.0,24729,2568,7603,11826,5549,710,24725,747,449,60.1,297,39.8,15489,76394,39387,768,573,182,577,437,15997,1398,84,3,1,423,424,415,4,7,2,2022,642,671,48.9,29,38,45,532,174,32.7,14.0,4.58,0.08,0.23,17.5,23,5,7,54.2,49.1,0.09,-9.2,-9.1,14672,18848,77.8,258025,92485,6771,7728,87.6,5788,6945,83.3,1621,2954,54.9,27,34.0,32.2,-7.0,392,1153,298,85,1554,18848,17045,1749,456,49,171,740,740,207,92,69,12,14672,54,359,48.0,23303,2177,6624,10997,5921,890,23296,681,428,62.8,253,37.2,13295,71747,37162,715,530,195,622,412,14591,1543,0.3759398496240601
Arsenal,2,38,38,3420,38,48,1.26,193,144,78.8,14,14,10,10,26.3,8,7,1,0,12.5,51.8,0.23,3.8,0.1,56,403,146,36.2,10.61,3.84,0.13,0.36,16.4,19,3,3,47.0,44.6,0.11,9.0,8.4,16634,20410,81.5,292657,94450,7259,8103,89.6,7300,8331,87.6,1596,2772,57.6,35,31.4,28.5,3.6,298,1164,311,63,1641,20410,18463,1874,487,67,153,699,756,231,96,71,3,16634,73,320,709,18.66,501,59,52,48,33,16,85,2.24,57,5,4,9,4,6,584,336,296,217,71,249,612,40.7,363,398,141,257,351,935,754,18,53.8,24424,2737,8368,10648,5628,821,24421,697,411,59.0,286,41.0,14410,85069,46708,815,534,209,547,370,16527,1630,88,5,1,421,437,336,2,8,0,1861,501,589,46.0,29,38,48,545,185,33.9,14.34,4.87,0.08,0.22,18.2,19,7,8,55.3,48.9,0.09,-7.3,-7.9,13968,17668,79.1,245849,89696,6592,7433,88.7,5474,6451,84.9,1506,2727,55.2,30,39.1,33.2,-9.1,415,1087,300,85,1369,17668,15826,1790,465,31,131,784,741,229,105,71,6,13968,52,325,46.3,21798,2223,6362,9657,6012,943,21791,613,363,59.2,249,40.6,12392,67373,35280,759,603,232,521,335,13864,1361,0.4246575342465754
Chelsea,2,38,38,3420,38,54,1.42,115,64,54.8,20,6,12,9,23.7,2,2,0,0,0.0,37.5,0.31,-13.5,-0.36,69,618,210,34.0,16.26,5.53,0.1,0.3,16.6,29,7,7,69.2,64.4,0.11,-0.2,-2.4,20958,25213,83.1,352088,108966,9753,10903,89.5,8527,9698,87.9,1843,2989,61.7,46,46.7,42.3,-0.7,459,1463,411,108,1897,25213,23308,1842,401,61,215,862,876,247,106,82,2,20958,63,361,1121,29.5,847,86,57,64,52,15,123,3.24,86,6,10,9,10,2,638,362,304,258,76,246,604,40.7,358,361,91,270,459,1097,631,14,60.4,29489,2281,8311,13996,7423,1063,29482,718,460,64.1,258,35.9,18488,98638,51643,983,725,222,583,414,20848,1880,60,0,0,386,384,362,6,2,3,2210,703,701,50.1,27,38,51,320,113,35.3,8.42,2.97,0.15,0.43,16.5,15,2,2,38.6,37.0,0.12,12.4,12.0,12445,16600,75.0,218822,82681,5803,6816,85.1,4884,5932,82.3,1342,2751,48.8,36,27.4,23.9,8.6,241,847,216,55,1151,16600,14807,1750,428,36,134,518,766,133,64,40,4,12445,43,320,39.6,21108,2691,7489,9424,4394,584,21106,604,358,59.3,247,40.9,11069,56452,26910,464,381,113,636,392,12342,1134,0.432601880877743
Wolves,1,38,38,3420,38,40,1.05,129,88,69.8,15,14,9,13,34.2,3,1,2,0,66.7,35.5,0.26,-3.5,-0.09,49,457,142,31.1,12.03,3.74,0.1,0.32,17.4,13,4,4,54.1,51.0,0.11,-5.1,-6.0,14298,18474,77.4,266628,97026,5979,6942,86.1,5777,6928,83.4,1985,3308,60.0,34,37.5,30.0,-3.5,339,1015,223,83,1338,18474,16650,1775,405,40,203,718,816,193,55,80,0,14298,49,323,801,21.08,541,70,79,47,46,18,83,2.18,53,6,9,8,7,0,646,367,358,227,61,281,685,41.0,404,378,109,269,437,1083,702,23,48.3,22660,1987,6969,10797,5105,779,22656,817,509,62.3,308,37.7,11543,66813,36391,858,559,229,540,338,14176,1320,61,2,2,407,360,367,4,3,1,2113,775,711,52.2,21,38,39,396,126,31.8,10.42,3.32,0.1,0.3,17.3,12,1,3,38.0,35.5,0.09,1.0,2.5,15811,19951,79.2,267919,93028,7591,8577,88.5,6174,7252,85.1,1485,2879,51.6,28,26.1,22.8,1.9,289,1098,255,68,1411,19951,18133,1777,441,28,131,664,834,148,67,45,6,15811,41,323,51.7,24140,2211,6621,12217,5539,686,24137,685,404,59.0,281,41.0,13955,74499,38496,702,561,143,546,365,15703,1392,0.4318885448916408
Everton,1,38,38,3420,38,56,1.47,147,94,63.9,13,10,15,9,23.7,4,3,0,1,0.0,50.2,0.32,-2.8,-0.07,42,468,159,34.0,12.32,4.18,0.09,0.26,16.4,20,1,1,50.8,50.0,0.11,-8.8,-9.0,13433,17736,75.7,248821,94797,5670,6722,84.3,5545,6642,83.5,1728,3126,55.3,32,38.1,31.5,-6.1,340,987,288,93,1430,17736,15790,1888,463,55,165,804,853,203,105,80,2,13433,58,362,805,21.18,536,86,47,69,51,16,67,1.76,47,4,4,9,3,0,671,408,328,262,81,282,672,42.0,390,372,111,261,408,1079,778,13,49.0,22035,2514,7389,9561,5301,838,22034,609,374,61.4,235,38.6,12432,65428,32588,623,502,146,593,345,13344,1421,76,3,3,472,394,408,0,4,3,1966,860,835,50.7,24,38,53,423,144,34.0,11.13,3.79,0.12,0.35,17.1,23,3,4,48.3,45.2,0.11,4.7,4.8,14366,18648,77.0,255446,94202,6485,7476,86.7,5830,6928,84.2,1560,3010,51.8,39,34.2,29.6,4.8,317,1045,274,69,1405,18648,16627,1943,497,54,173,655,897,182,81,65,11,14366,78,319,51.0,22967,2340,7355,10583,5246,733,22963,672,390,58.0,282,42.0,12773,68555,35386,675,460,176,568,389,14272,1392,0.3919523099850969
Fulham,2,38,38,3420,38,53,1.39,170,118,72.9,5,13,20,9,23.7,7,7,0,0,0.0,54.5,0.29,2.5,0.07,26,436,125,28.7,11.47,3.29,0.05,0.18,18.3,12,3,6,40.5,35.9,0.08,-14.5,-12.9,15401,19512,78.9,270640,94395,6853,7837,87.4,6528,7611,85.8,1529,2866,53.3,18,26.3,25.3,-8.3,334,1019,290,94,1354,19512,17703,1766,469,17,109,710,784,164,54,73,15,15401,43,346,785,20.66,579,65,53,35,47,6,47,1.24,33,2,4,3,4,1,601,329,282,231,88,254,581,43.7,327,356,95,261,437,1038,794,13,49.7,23810,2407,8063,10438,5567,728,23804,795,506,63.6,289,36.4,13417,74354,37397,727,527,156,721,393,15290,1338,67,3,0,484,372,329,5,7,1,2010,649,625,50.9,28,38,52,421,163,38.7,11.08,4.29,0.11,0.28,17.0,27,7,7,52.6,47.2,0.12,-0.6,-2.2,15762,20041,78.6,280391,92136,6859,7867,87.2,6751,7825,86.3,1645,3103,53.0,34,37.4,33.9,-3.4,302,1150,268,82,1327,20041,18089,1849,485,26,116,693,829,192,68,87,5,15762,103,326,50.1,24187,2377,7606,11296,5503,752,24180,581,327,56.3,254,43.7,13534,68983,34518,559,456,139,555,347,15656,1317,0.4525790349417637
West Brom,2,38,38,3420,38,76,2.0,240,166,71.3,5,11,22,6,15.8,11,7,1,3,12.5,68.0,0.25,-5.0,-0.13,33,335,106,31.6,8.82,2.79,0.09,0.27,18.4,16,4,4,35.8,32.7,0.1,-2.8,-3.7,9769,13978,69.9,177501,75746,4418,5278,83.7,3696,4783,77.3,1273,2924,43.5,20,24.4,21.3,-4.4,241,822,196,60,1027,13978,12147,1756,463,13,105,604,727,144,75,21,16,9769,75,275,568,14.95,407,60,26,27,39,9,53,1.39,40,3,1,3,5,1,581,328,329,192,60,271,656,41.3,385,455,159,296,435,1016,876,13,37.9,18247,2539,6670,7517,4237,578,18242,505,264,52.3,241,47.7,8262,44861,21527,441,283,103,613,313,9668,1017,51,4,0,404,412,328,4,11,3,1963,709,771,47.9,30,38,73,588,232,39.5,15.47,6.11,0.11,0.28,17.7,24,7,11,67.9,59.3,0.1,5.1,6.7,18892,23277,81.2,316702,107899,9018,10152,88.8,7663,8828,86.8,1599,2948,54.2,52,44.1,42.0,7.9,452,1470,395,84,1802,23277,21362,1855,441,32,138,841,822,266,129,99,8,18892,60,355,62.4,27177,2092,7386,12659,7357,1039,27166,656,385,58.7,271,41.3,15605,87962,48418,931,719,209,585,310,18747,1778,0.4354561101549054
Leeds United,2,38,38,3420,38,54,1.42,198,145,76.8,18,5,15,12,31.6,9,8,1,0,11.1,49.9,0.21,-2.1,-0.06,60,518,193,37.3,13.63,5.08,0.11,0.29,16.9,9,4,4,55.6,52.5,0.1,4.4,3.5,16284,20629,78.9,286488,99274,6970,7933,87.9,7130,8308,85.8,1631,3014,54.1,45,41.9,34.4,3.1,394,1110,349,68,1633,20629,18658,1895,467,27,205,786,809,229,115,78,1,16284,76,364,924,24.32,701,73,45,63,31,11,108,2.84,81,6,8,8,5,0,740,417,378,279,83,310,769,40.3,459,406,149,257,397,1137,646,26,57.3,24873,2750,9043,10345,5695,880,24869,563,318,56.5,245,43.5,14066,80443,44866,811,491,158,667,319,16154,1625,61,1,0,432,410,417,3,9,2,2160,538,605,47.1,23,38,52,549,189,34.4,14.45,4.97,0.08,0.23,18.0,20,8,9,57.9,50.7,0.09,-5.9,-6.7,11293,15291,73.9,188301,85040,5672,6628,85.6,3968,4993,79.5,1131,2498,45.3,36,39.3,30.7,-3.3,422,864,277,36,1201,15291,13322,1916,478,20,57,613,807,211,104,92,6,11293,53,312,42.4,19786,2395,6410,8265,5409,875,19777,769,459,59.7,311,40.4,10613,67444,35138,720,557,184,663,431,11160,1188,0.4364864864864864
