game,date,home_team,away_team,FTHG,FTAG,H,D,A,PSH,PSD,PSA,pPSH,pPSD,pPSA
2019-10-05 West Ham-Crystal Palace,2019-10-05 17:30:00,West Ham,Crystal Palace,1,2,0,0,1,2.02,3.65,3.92,0.48609063690555804,0.2663324525084477,0.2475769105855269
2019-10-06 Arsenal-Bournemouth,2019-10-06 14:00:00,Arsenal,Bournemouth,1,0,1,0,0,1.44,5.08,7.13,0.6812074253918483,0.18745009496025894,0.1313424796483417
2019-10-06 Manchester City-Wolves,2019-10-06 14:00:00,Manchester City,Wolves,0,2,0,0,1,1.13,9.61,23.95,0.8705955459308339,0.0953955694897691,0.034008884579104136
2019-10-06 Newcastle Utd-Manchester Utd,2019-10-06 16:30:00,Newcastle Utd,Manchester Utd,1,0,1,0,0,4.51,3.51,1.93,0.21421411830732426,0.2769878285226254,0.5087980531705237
2019-10-06 Southampton-Chelsea,2019-10-06 14:00:00,Southampton,Chelsea,1,4,0,0,1,4.09,3.97,1.88,0.23575193276677944,0.24308902195579896,0.521159045277885
2019-10-19 Aston Villa-Brighton,2019-10-19 15:00:00,Aston Villa,Brighton,2,1,1,0,0,2.39,3.51,3.09,0.4089239311454502,0.27630638731429524,0.3147696815397836
2019-10-19 Bournemouth-Norwich City,2019-10-19 15:00:00,Bournemouth,Norwich City,0,0,0,1,0,1.72,4.47,4.45,0.5697020114233621,0.2146501414402577,0.21564784713685176
2019-10-19 Chelsea-Newcastle Utd,2019-10-19 15:00:00,Chelsea,Newcastle Utd,1,0,1,0,0,1.32,5.7,10.32,0.7445518834305853,0.16664783882340095,0.0888002777455676
2019-10-19 Crystal Palace-Manchester City,2019-10-19 17:30:00,Crystal Palace,Manchester City,0,2,0,0,1,12.88,6.95,1.24,0.07020902886331863,0.13586253719739355,0.793928433939698
2019-10-19 Everton-West Ham,2019-10-19 12:30:00,Everton,West Ham,2,0,1,0,0,1.99,3.76,3.88,0.49273924215300646,0.2577158431717725,0.24954491467473777
2019-10-19 Leicester City-Burnley,2019-10-19 15:00:00,Leicester City,Burnley,2,1,1,0,0,1.57,4.12,6.69,0.6251171252409531,0.23370257211487366,0.14118030264462564
2019-10-19 Tottenham-Watford,2019-10-19 15:00:00,Tottenham,Watford,1,1,0,1,0,1.43,5.0,7.67,0.6868044633346257,0.19112464704492302,0.12207088962087594
2019-10-19 Wolves-Southampton,2019-10-19 15:00:00,Wolves,Southampton,1,1,0,1,0,1.88,3.61,4.61,0.5220867224878301,0.26880321560278697,0.2091100619089177
2019-10-20 Manchester Utd-Liverpool,2019-10-20 16:30:00,Manchester Utd,Liverpool,1,1,0,1,0,5.08,4.06,1.71,0.18854703198945824,0.23764489049465898,0.5738080775163431
2019-10-21 Sheffield Utd-Arsenal,2019-10-21 20:00:00,Sheffield Utd,Arsenal,1,0,1,0,0,3.96,3.83,1.96,0.24510707953161934,0.2536267188787285,0.5012662015901203
2019-10-25 Southampton-Leicester City,2019-10-25 20:00:00,Southampton,Leicester City,0,9,0,0,1,3.25,3.34,2.38,0.298839248397592,0.29060470663639776,0.4105560449664825
2019-10-26 Brighton-Everton,2019-10-26 15:00:00,Brighton,Everton,3,2,1,0,0,2.9,3.37,2.6,0.33608256915789286,0.2883048420903891,0.375612588751234
2019-10-26 Burnley-Chelsea,2019-10-26 17:30:00,Burnley,Chelsea,2,4,0,0,1,4.61,4.17,1.75,0.20841157673883948,0.23113417647549167,0.56045424678521
2019-10-26 Manchester City-Aston Villa,2019-10-26 12:30:00,Manchester City,Aston Villa,3,0,1,0,0,1.09,12.5,29.54,0.9025855740234289,0.07131357183099024,0.026100854145305816
2019-10-26 Watford-Bournemouth,2019-10-26 15:00:00,Watford,Bournemouth,0,0,0,1,0,2.21,3.52,3.44,0.44265352529649116,0.2753924981666915,0.2819539765363444
2019-10-26 West Ham-Sheffield Utd,2019-10-26 15:00:00,West Ham,Sheffield Utd,1,1,0,1,0,2.15,3.46,3.66,0.45516709826042157,0.28025871302482347,0.2645741887142915
2019-10-27 Arsenal-Crystal Palace,2019-10-27 16:30:00,Arsenal,Crystal Palace,2,2,0,1,0,1.51,4.66,6.54,0.6499972451159705,0.20559916698659747,0.14440358789786736
2019-10-27 Liverpool-Tottenham,2019-10-27 16:30:00,Liverpool,Tottenham,2,1,1,0,0,1.55,4.48,6.22,0.6332749956873742,0.21434253293630304,0.15238247137588096
2019-10-27 Newcastle Utd-Wolves,2019-10-27 14:00:00,Newcastle Utd,Wolves,1,1,0,1,0,3.09,3.11,2.62,0.31479963134697925,0.31273237049935265,0.3724679981531819
2019-10-27 Norwich City-Manchester Utd,2019-10-27 16:30:00,Norwich City,Manchester Utd,1,3,0,0,1,4.37,3.96,1.83,0.2203480440661038,0.24387195177750792,0.5357800041559132
