game,date,home_team,away_team,FTHG,FTAG,H,D,A,PSH,PSD,PSA,pPSH,pPSD,pPSA
2020-07-01 West Ham-Chelsea,2020-07-01 20:15:00,West Ham,Chelsea,3,2,1,0,0,5.71,4.41,1.61,0.16841341845539215,0.21973075989149848,0.611855821653574
2020-07-02 Manchester City-Liverpool,2020-07-02 20:15:00,Manchester City,Liverpool,4,0,1,0,0,2.08,4.01,3.42,0.4724732401259482,0.24237505721510277,0.2851517026584774
2020-07-02 Sheffield Utd-Tottenham,2020-07-02 18:00:00,Sheffield Utd,Tottenham,3,1,1,0,0,4.17,3.49,2.01,0.23245912658065218,0.278902181195393,0.4886386922244314
2020-07-04 Chelsea-Watford,2020-07-04 20:00:00,Chelsea,Watford,3,0,1,0,0,1.43,4.6,8.69,0.6859297288700047,0.20774104351813433,0.10632922761142696
2020-07-04 Leicester City-Crystal Palace,2020-07-04 15:00:00,Leicester City,Crystal Palace,3,0,1,0,0,1.68,3.66,6.08,0.5822213425793953,0.26279611145097437,0.1549825459691628
2020-07-04 Manchester Utd-Bournemouth,2020-07-04 15:00:00,Manchester Utd,Bournemouth,5,2,1,0,0,1.17,7.66,18.7,0.8369564828952374,0.11942717360481085,0.04361634349957771
2020-07-04 Norwich City-Brighton,2020-07-04 12:30:00,Norwich City,Brighton,0,1,0,0,1,3.47,3.38,2.24,0.27844441123720054,0.28605923441389003,0.4354963543493772
2020-07-04 Wolves-Arsenal,2020-07-04 17:30:00,Wolves,Arsenal,0,2,0,0,1,2.28,3.33,3.43,0.4277333616496169,0.2904774418891979,0.28178919646072376
2020-07-05 Burnley-Sheffield Utd,2020-07-05 12:00:00,Burnley,Sheffield Utd,1,1,0,1,0,2.96,3.0,2.79,0.3280124383965878,0.3235410651560645,0.3484464964468676
2020-07-05 Liverpool-Aston Villa,2020-07-05 16:30:00,Liverpool,Aston Villa,2,0,1,0,0,1.35,5.51,8.94,0.7260614280476944,0.17143987050732212,0.10249870144540779
2020-07-05 Newcastle Utd-West Ham,2020-07-05 14:15:00,Newcastle Utd,West Ham,2,2,0,1,0,2.72,3.31,2.77,0.3572055694350754,0.2921746233469149,0.35061980721847863
2020-07-05 Southampton-Manchester City,2020-07-05 19:00:00,Southampton,Manchester City,1,0,1,0,0,9.17,5.61,1.34,0.09985761373652566,0.16837994254548325,0.7317624437184103
2020-07-06 Tottenham-Everton,2020-07-06 20:00:00,Tottenham,Everton,1,0,1,0,0,2.19,3.54,3.53,0.44851390621381615,0.275345176426735,0.2761409173599335
2020-07-07 Arsenal-Leicester City,2020-07-07 20:15:00,Arsenal,Leicester City,1,1,0,1,0,2.43,3.43,3.06,0.4010630840341041,0.2819739676173062,0.3169629483481225
2020-07-07 Crystal Palace-Chelsea,2020-07-07 18:00:00,Crystal Palace,Chelsea,2,3,0,0,1,8.61,4.45,1.45,0.1077305763079479,0.21539267356465255,0.6768767501278375
2020-07-07 Watford-Norwich City,2020-07-07 18:00:00,Watford,Norwich City,2,1,1,0,0,1.77,3.75,5.05,0.5534628211982802,0.2573299657953677,0.18920721300682844
2020-07-08 Brighton-Liverpool,2020-07-08 20:15:00,Brighton,Liverpool,1,3,0,0,1,6.08,4.3,1.58,0.15583032624656512,0.22337659488755862,0.6207930788663465
2020-07-08 Manchester City-Newcastle Utd,2020-07-08 18:00:00,Manchester City,Newcastle Utd,5,0,1,0,0,1.12,9.75,25.19,0.8764177803436788,0.09263114963719042,0.030951070018800892
2020-07-08 Sheffield Utd-Wolves,2020-07-08 18:00:00,Sheffield Utd,Wolves,1,0,1,0,0,4.08,3.05,2.19,0.23595893323969164,0.31811333223585353,0.44592773452492546
2020-07-08 West Ham-Burnley,2020-07-08 18:00:00,West Ham,Burnley,0,1,0,0,1,2.05,3.51,3.9,0.47705846564047605,0.2756109412475931,0.2473305931114615
2020-07-09 Aston Villa-Manchester Utd,2020-07-09 20:15:00,Aston Villa,Manchester Utd,0,3,0,0,1,9.47,5.22,1.36,0.09674160954334755,0.18190989713162456,0.7213484933254746
2020-07-09 Bournemouth-Tottenham,2020-07-09 18:00:00,Bournemouth,Tottenham,0,0,0,1,0,4.98,4.11,1.7,0.191171483676228,0.23332018947947847,0.5755083268438267
2020-07-09 Everton-Southampton,2020-07-09 18:00:00,Everton,Southampton,1,1,0,1,0,2.11,3.57,3.61,0.46258364267872343,0.2702478885208548,0.26716846879995615
2020-07-11 Brighton-Manchester City,2020-07-11 20:00:00,Brighton,Manchester City,0,5,0,0,1,10.19,5.83,1.31,0.0891933712443203,0.1618570841553039,0.7489495445999521
2020-07-11 Liverpool-Burnley,2020-07-11 15:00:00,Liverpool,Burnley,1,1,0,1,0,1.27,6.37,11.79,0.7744696254407911,0.14852397998339356,0.0770063945762358
2020-07-11 Norwich City-West Ham,2020-07-11 12:30:00,Norwich City,West Ham,0,4,0,0,1,3.84,3.71,2.01,0.2518176193939757,0.2608792987810506,0.4873030818254546
2020-07-11 Sheffield Utd-Chelsea,2020-07-11 17:30:00,Sheffield Utd,Chelsea,3,0,1,0,0,6.14,3.95,1.63,0.15435786170605229,0.2439572722937583,0.6016848659997298
2020-07-11 Watford-Newcastle Utd,2020-07-11 12:30:00,Watford,Newcastle Utd,2,1,1,0,0,1.83,3.65,4.74,0.5344154443231789,0.2640398122473226,0.2015447434290433
2020-07-12 Aston Villa-Crystal Palace,2020-07-12 14:15:00,Aston Villa,Crystal Palace,2,0,1,0,0,2.33,3.38,3.28,0.4185755104342723,0.28623602487711747,0.29518846468907334
2020-07-12 Bournemouth-Leicester City,2020-07-12 19:00:00,Bournemouth,Leicester City,4,1,1,0,0,5.24,3.83,1.72,0.18100575067388397,0.2506547411742736,0.5683395081523127
2020-07-12 Tottenham-Arsenal,2020-07-12 16:30:00,Tottenham,Arsenal,2,1,1,0,0,2.68,3.51,2.69,0.3629855697867764,0.2754057791353174,0.36160865107837475
2020-07-12 Wolves-Everton,2020-07-12 12:00:00,Wolves,Everton,3,0,1,0,0,2.06,3.3,4.15,0.4745914610748101,0.2935066012877677,0.2319019376378907
2020-07-13 Manchester Utd-Southampton,2020-07-13 20:00:00,Manchester Utd,Southampton,2,2,0,1,0,1.28,5.99,11.75,0.7665712188411163,0.1572077915805886,0.0762209895779078
2020-07-14 Chelsea-Norwich City,2020-07-14 20:15:00,Chelsea,Norwich City,1,0,1,0,0,1.12,9.64,23.55,0.8746005655661874,0.09268125072394423,0.032718183709563364
2020-07-15 Arsenal-Liverpool,2020-07-15 20:15:00,Arsenal,Liverpool,2,1,1,0,0,3.97,3.98,1.9,0.2427321810065923,0.2421040421698726,0.5151637768230606
2020-07-15 Burnley-Wolves,2020-07-15 18:00:00,Burnley,Wolves,1,1,0,1,0,4.74,3.37,1.93,0.20320167480207824,0.2884039611131284,0.5083943640843194
2020-07-15 Manchester City-Bournemouth,2020-07-15 18:00:00,Manchester City,Bournemouth,2,1,1,0,0,1.16,8.83,15.59,0.8439338668311747,0.10218103913635927,0.053885094032781904
2020-07-15 Newcastle Utd-Tottenham,2020-07-15 18:00:00,Newcastle Utd,Tottenham,1,3,0,0,1,4.6,3.84,1.81,0.20824136706135352,0.25093242006473065,0.540826212874375
2020-07-16 Crystal Palace-Manchester Utd,2020-07-16 20:15:00,Crystal Palace,Manchester Utd,0,2,0,0,1,10.36,5.03,1.36,0.0882479673509238,0.18962499487249374,0.7221270377769909
2020-07-16 Everton-Aston Villa,2020-07-16 18:00:00,Everton,Aston Villa,1,1,0,1,0,2.05,3.61,3.78,0.47696774216108334,0.2676989177289054,0.25533334011049
2020-07-16 Leicester City-Sheffield Utd,2020-07-16 18:00:00,Leicester City,Sheffield Utd,2,0,1,0,0,2.04,3.4,4.12,0.4801969211837874,0.28542552713583,0.23437755167991767
2020-07-16 Southampton-Brighton,2020-07-16 20:15:00,Southampton,Brighton,1,1,0,1,0,2.2,3.37,3.59,0.44378070920274904,0.2871336259616239,0.2690856648351625
2020-07-17 West Ham-Watford,2020-07-17 20:00:00,West Ham,Watford,3,1,1,0,0,2.43,3.04,3.46,0.4011943928555046,0.3192206251332868,0.2795849820107441
2020-07-18 Norwich City-Burnley,2020-07-18 17:30:00,Norwich City,Burnley,0,2,0,0,1,3.4,3.43,2.25,0.28444828156637314,0.28189527021920013,0.4336564482139617
2020-07-19 Bournemouth-Southampton,2020-07-19 14:00:00,Bournemouth,Southampton,0,2,0,0,1,2.43,3.78,2.82,0.4007778434468191,0.2549268448483168,0.3442953117043831
2020-07-19 Tottenham-Leicester City,2020-07-19 16:00:00,Tottenham,Leicester City,3,0,1,0,0,2.33,3.53,3.15,0.4185716800786143,0.27375521431507793,0.30767310560677336
2020-07-20 Brighton-Newcastle Utd,2020-07-20 18:00:00,Brighton,Newcastle Utd,0,0,0,1,0,1.97,3.48,4.3,0.497314525788963,0.2785505334374624,0.22413494077310944
2020-07-20 Sheffield Utd-Everton,2020-07-20 18:00:00,Sheffield Utd,Everton,0,1,0,0,1,2.18,3.42,3.57,0.4474204120142264,0.2823843318046719,0.2701952561806214
2020-07-20 Wolves-Crystal Palace,2020-07-20 20:15:00,Wolves,Crystal Palace,2,0,1,0,0,1.51,4.12,8.08,0.6504078098582426,0.2338136564860453,0.11577853365614421
2020-07-21 Aston Villa-Arsenal,2020-07-21 20:15:00,Aston Villa,Arsenal,1,0,1,0,0,3.24,3.94,2.14,0.29897953493213686,0.24455564252671272,0.45646482254066983
2020-07-21 Watford-Manchester City,2020-07-21 18:00:00,Watford,Manchester City,0,4,0,0,1,8.57,5.73,1.34,0.1063541586954856,0.16354843306971445,0.7300974082343793
2020-07-22 Liverpool-Chelsea,2020-07-22 20:15:00,Liverpool,Chelsea,5,3,1,0,0,2.08,3.71,3.59,0.4701655856460019,0.26044515323175627,0.2693892611227026
2020-07-22 Manchester Utd-West Ham,2020-07-22 18:00:00,Manchester Utd,West Ham,1,1,0,1,0,1.26,6.37,12.18,0.7791190751975009,0.14749124681388015,0.07338967798820147
2020-07-26 Arsenal-Watford,2020-07-26 16:00:00,Arsenal,Watford,3,2,1,0,0,1.93,4.04,3.79,0.5070230559973128,0.23838598245772818,0.2545909615444984
2020-07-26 Burnley-Brighton,2020-07-26 16:00:00,Burnley,Brighton,1,2,0,0,1,2.34,3.55,3.11,0.41652157603271234,0.27196525798284327,0.3115131659839611
2020-07-26 Chelsea-Wolves,2020-07-26 16:00:00,Chelsea,Wolves,2,0,1,0,0,1.88,3.81,4.29,0.5214683958087606,0.25384648048171293,0.22468512370905655
2020-07-26 Crystal Palace-Tottenham,2020-07-26 16:00:00,Crystal Palace,Tottenham,1,1,0,1,0,6.4,4.27,1.56,0.14723873814274624,0.22452866446529254,0.6282325973924104
2020-07-26 Everton-Bournemouth,2020-07-26 16:00:00,Everton,Bournemouth,1,3,0,0,1,2.26,3.87,3.03,0.43141900877761324,0.24875100452126112,0.31982998670065116
2020-07-26 Leicester City-Manchester Utd,2020-07-26 16:00:00,Leicester City,Manchester Utd,0,2,0,0,1,3.25,3.51,2.28,0.2975724360365777,0.2749587686077122,0.4274687953561903
2020-07-26 Manchester City-Norwich City,2020-07-26 16:00:00,Manchester City,Norwich City,5,0,1,0,0,1.08,13.1,30.22,0.9090983487889615,0.06650244921016434,0.024399202001155886
2020-07-26 Newcastle Utd-Liverpool,2020-07-26 16:00:00,Newcastle Utd,Liverpool,1,3,0,0,1,7.79,5.07,1.41,0.11865585511251044,0.18685089085327786,0.6944932540346491
2020-07-26 Southampton-Sheffield Utd,2020-07-26 16:00:00,Southampton,Sheffield Utd,3,1,1,0,0,2.18,3.54,3.46,0.44778168419648207,0.2728682565252534,0.279350059277801
2020-07-26 West Ham-Aston Villa,2020-07-26 16:00:00,West Ham,Aston Villa,1,1,0,1,0,3.12,3.62,2.31,0.310791829899101,0.2668512653841632,0.4223569047162639
2020-09-12 Crystal Palace-Southampton,2020-09-12 15:00:00,Crystal Palace,Southampton,1,0,1,0,0,3.32,3.29,2.4,0.2941439285544192,0.2968754813177229,0.40898059012833177
2020-09-12 Fulham-Arsenal,2020-09-12 12:30:00,Fulham,Arsenal,0,3,0,0,1,6.16,4.51,1.56,0.15509668929709636,0.21409686289980787,0.6308064478026392
2020-09-12 Liverpool-Leeds United,2020-09-12 17:30:00,Liverpool,Leeds United,4,3,1,0,0,1.31,6.25,9.92,0.7527864214686932,0.15299770065630475,0.09421587787544027
2020-09-12 West Ham-Newcastle Utd,2020-09-12 20:00:00,West Ham,Newcastle Utd,0,2,0,0,1,2.18,3.61,3.5,0.45094114532486734,0.2701998881124891,0.27885896656312376
2020-09-13 Tottenham-Everton,2020-09-13 16:30:00,Tottenham,Everton,0,1,0,0,1,1.94,3.57,4.3,0.5048851638425184,0.2711644329098647,0.22395040324808113
2020-09-13 West Brom-Leicester City,2020-09-13 14:00:00,West Brom,Leicester City,0,3,0,0,1,4.0,3.59,2.0,0.24114025474457046,0.2694853139610378,0.4893744312939279
2020-09-14 Brighton-Chelsea,2020-09-14 20:15:00,Brighton,Chelsea,1,3,0,0,1,5.36,4.34,1.65,0.17977195772668586,0.22335826602724693,0.5968697762465434
2020-09-14 Sheffield Utd-Wolves,2020-09-14 18:00:00,Sheffield Utd,Wolves,0,2,0,0,1,3.41,3.03,2.46,0.2836945488028354,0.3201986487974255,0.396106802400208
2020-09-19 Arsenal-West Ham,2020-09-19 20:00:00,Arsenal,West Ham,2,1,1,0,0,1.54,4.58,6.09,0.6363218466623379,0.20867730709289975,0.15500084624522584
2020-09-19 Everton-West Brom,2020-09-19 12:30:00,Everton,West Brom,5,2,1,0,0,1.55,4.33,6.46,0.6325629499431681,0.22147935655523385,0.14595769350204527
2020-09-19 Leeds United-Fulham,2020-09-19 15:00:00,Leeds United,Fulham,4,3,1,0,0,1.65,4.05,5.61,0.5936329622498547,0.23723350541452334,0.1691335323360928
2020-09-19 Manchester Utd-Crystal Palace,2020-09-19 17:30:00,Manchester Utd,Crystal Palace,1,3,0,0,1,1.3,5.88,9.8,0.7511789579974585,0.15798557329746124,0.09083546870466522
2020-09-20 Chelsea-Liverpool,2020-09-20 16:30:00,Chelsea,Liverpool,0,2,0,0,1,3.2,3.85,2.19,0.3030937922148459,0.25071711075051295,0.44618909703416937
2020-09-20 Leicester City-Burnley,2020-09-20 19:00:00,Leicester City,Burnley,4,2,1,0,0,1.63,4.13,5.79,0.6021576980582489,0.23337374339131062,0.16446855855089026
2020-09-20 Newcastle Utd-Brighton,2020-09-20 14:00:00,Newcastle Utd,Brighton,0,3,0,0,1,2.66,3.22,2.91,0.3656493871142501,0.30075764102775965,0.333592971858456
2020-09-20 Southampton-Tottenham,2020-09-20 12:00:00,Southampton,Tottenham,2,5,0,0,1,3.12,3.39,2.41,0.3105394657910165,0.28520621206150265,0.40425432214701096
2020-09-21 Aston Villa-Sheffield Utd,2020-09-21 18:00:00,Aston Villa,Sheffield Utd,1,0,1,0,0,2.77,3.22,2.78,0.35044939391989216,0.3003897676252157,0.349160838455366
2020-09-21 Wolves-Manchester City,2020-09-21 20:15:00,Wolves,Manchester City,1,3,0,0,1,6.27,4.35,1.56,0.15075450316940864,0.22058225777897505,0.6286632390511631
2020-09-26 Brighton-Manchester Utd,2020-09-26 12:30:00,Brighton,Manchester Utd,2,3,0,0,1,5.1,3.82,1.78,0.19023152439653404,0.255603813912715,0.554164661691223
2020-09-26 Burnley-Southampton,2020-09-26 20:00:00,Burnley,Southampton,0,1,0,0,1,3.41,3.31,2.36,0.28710929737033763,0.29592660914288815,0.416964093486285
2020-09-26 Crystal Palace-Everton,2020-09-26 15:00:00,Crystal Palace,Everton,1,2,0,0,1,3.72,3.44,2.17,0.26239622107665156,0.2841648332280017,0.4534389456958246
2020-09-26 West Brom-Chelsea,2020-09-26 17:30:00,West Brom,Chelsea,3,3,0,1,0,8.55,5.33,1.39,0.11031287807357329,0.1805043842166879,0.7091827377101992
2020-09-27 Manchester City-Leicester City,2020-09-27 16:30:00,Manchester City,Leicester City,2,5,0,0,1,1.31,6.19,10.09,0.7528502425114851,0.1545804065437705,0.0925693509451644
2020-09-27 Sheffield Utd-Leeds United,2020-09-27 12:00:00,Sheffield Utd,Leeds United,0,1,0,0,1,2.83,3.5,2.63,0.3468580752713793,0.2795412187158247,0.37360070601231143
2020-09-27 Tottenham-Newcastle Utd,2020-09-27 14:00:00,Tottenham,Newcastle Utd,1,1,0,1,0,1.49,4.67,7.38,0.6625145182707596,0.20784233354476167,0.12964314818402625
2020-09-27 West Ham-Wolves,2020-09-27 19:00:00,West Ham,Wolves,4,0,1,0,0,3.87,3.5,2.1,0.2520427249151828,0.27921947172979117,0.4687378033554998
2020-09-28 Fulham-Aston Villa,2020-09-28 17:45:00,Fulham,Aston Villa,0,3,0,0,1,2.98,3.32,2.54,0.32547064484613764,0.2913662636481075,0.38316309150527594
2020-09-28 Liverpool-Arsenal,2020-09-28 20:00:00,Liverpool,Arsenal,3,1,1,0,0,1.5,4.76,6.53,0.6543225736442305,0.2010825624267132,0.14459486392859186
2020-10-03 Chelsea-Crystal Palace,2020-10-03 12:30:00,Chelsea,Crystal Palace,4,0,1,0,0,1.43,4.86,7.79,0.6852391073579565,0.19571678767286366,0.11904410496963085
2020-10-03 Everton-Brighton,2020-10-03 15:00:00,Everton,Brighton,4,2,1,0,0,1.78,3.82,4.82,0.5497792688493902,0.25204900720631157,0.1981717239447619
2020-10-03 Leeds United-Manchester City,2020-10-03 17:30:00,Leeds United,Manchester City,1,1,0,1,0,7.98,5.31,1.37,0.11323022012689353,0.17543451372344973,0.7113352661500518
2020-10-03 Newcastle Utd-Burnley,2020-10-03 20:00:00,Newcastle Utd,Burnley,3,1,1,0,0,2.51,3.2,3.12,0.3875087832041506,0.3022706118937932,0.31022060490159453
2020-10-04 Arsenal-Sheffield Utd,2020-10-04 14:00:00,Arsenal,Sheffield Utd,2,1,1,0,0,1.56,4.17,6.73,0.6290562937352949,0.23072560098424033,0.14021810528091183
2020-10-04 Aston Villa-Liverpool,2020-10-04 19:15:00,Aston Villa,Liverpool,7,2,1,0,0,10.05,5.4,1.33,0.08960825799095257,0.17435123758214954,0.7360405044264747
2020-10-04 Leicester City-West Ham,2020-10-04 12:00:00,Leicester City,West Ham,0,3,0,0,1,1.7,4.16,4.94,0.5760148987369083,0.23081746110642953,0.19316764015712903
2020-10-04 Manchester Utd-Tottenham,2020-10-04 16:30:00,Manchester Utd,Tottenham,1,6,0,0,1,1.93,3.76,4.09,0.5073670580517646,0.2569678413810927,0.23566510056761494
2020-10-04 Southampton-West Brom,2020-10-04 12:00:00,Southampton,West Brom,2,0,1,0,0,1.78,3.91,4.71,0.5502327267601602,0.246437011375227,0.20333026186414638
2020-10-04 Wolves-Fulham,2020-10-04 14:00:00,Wolves,Fulham,1,0,1,0,0,1.51,4.2,7.63,0.6493159406412409,0.22840454265831098,0.12227951670088699
2020-10-17 Chelsea-Southampton,2020-10-17 15:00:00,Chelsea,Southampton,3,3,0,1,0,1.56,4.53,6.14,0.6309885184438557,0.21326051681366084,0.15575096474294647
2020-10-17 Everton-Liverpool,2020-10-17 12:30:00,Everton,Liverpool,2,2,0,1,0,4.04,4.2,1.87,0.24119852356109314,0.23181777716617163,0.5269836992732069
2020-10-17 Manchester City-Arsenal,2020-10-17 17:30:00,Manchester City,Arsenal,1,0,1,0,0,1.51,4.87,6.36,0.65201212996128,0.19788872569571833,0.1500991443434542
2020-10-17 Newcastle Utd-Manchester Utd,2020-10-17 20:00:00,Newcastle Utd,Manchester Utd,1,4,0,0,1,4.87,4.18,1.74,0.19955496104572812,0.23328360276506793,0.5671614361896828
2020-10-18 Crystal Palace-Brighton,2020-10-18 14:00:00,Crystal Palace,Brighton,1,1,0,1,0,2.73,3.34,2.83,0.35982128336980207,0.29323967735750234,0.3469390392722056
2020-10-18 Leicester City-Aston Villa,2020-10-18 19:15:00,Leicester City,Aston Villa,0,1,0,0,1,1.93,3.89,4.1,0.5109206907997558,0.25109132109815674,0.23798798810257193
2020-10-18 Sheffield Utd-Fulham,2020-10-18 12:00:00,Sheffield Utd,Fulham,1,1,0,1,0,2.15,3.4,3.84,0.4579555752178837,0.28778946575512754,0.2542549590274657
2020-10-18 Tottenham-West Ham,2020-10-18 16:30:00,Tottenham,West Ham,3,3,0,1,0,1.64,4.21,5.63,0.5998043146531759,0.22985902685345522,0.17033665849382792
2020-10-19 Leeds United-Wolves,2020-10-19 20:00:00,Leeds United,Wolves,0,1,0,0,1,2.55,3.31,3.07,0.38522948455562367,0.2956351958739882,0.31913531956990276
2020-10-19 West Brom-Burnley,2020-10-19 17:30:00,West Brom,Burnley,0,0,0,1,0,2.54,3.37,3.05,0.38735202493861604,0.29082868435587966,0.32181929070598825
2020-10-23 Aston Villa-Leeds United,2020-10-23 20:00:00,Aston Villa,Leeds United,0,3,0,0,1,2.13,3.83,3.44,0.4617102033723231,0.25442359611974513,0.28386620050744904
2020-10-24 Fulham-Crystal Palace,2020-10-24 15:00:00,Fulham,Crystal Palace,1,2,0,0,1,2.8,3.21,2.86,0.35095555694823444,0.30554729012954535,0.3434971529227104
2020-10-24 Liverpool-Sheffield Utd,2020-10-24 20:00:00,Liverpool,Sheffield Utd,2,1,1,0,0,1.25,6.66,12.96,0.7878146447670156,0.14227400660590622,0.06991134862668567
2020-10-24 Manchester Utd-Chelsea,2020-10-24 17:30:00,Manchester Utd,Chelsea,0,0,0,1,0,2.45,3.65,2.97,0.40156356008629246,0.2680020869062206,0.3304343530079641
2020-10-24 West Ham-Manchester City,2020-10-24 12:30:00,West Ham,Manchester City,1,1,0,1,0,7.51,5.3,1.42,0.1258306870633452,0.1809592615939551,0.693210051342259
2020-10-25 Arsenal-Leicester City,2020-10-25 19:15:00,Arsenal,Leicester City,0,1,0,0,1,1.95,3.83,4.06,0.5052139838699113,0.2547507773824307,0.24003523874813743
2020-10-25 Southampton-Everton,2020-10-25 14:00:00,Southampton,Everton,2,0,1,0,0,2.84,3.58,2.58,0.34570678896538376,0.273269711474232,0.3810234995599083
2020-10-25 Wolves-Newcastle Utd,2020-10-25 16:30:00,Wolves,Newcastle Utd,1,1,0,1,0,1.79,3.59,5.48,0.5510268115056368,0.27228014616953994,0.17669304232530433
2020-10-26 Brighton-West Brom,2020-10-26 17:30:00,Brighton,West Brom,1,1,0,1,0,1.78,4.08,4.7,0.5541629443136313,0.23900354869943022,0.2068335069864614
2020-10-26 Burnley-Tottenham,2020-10-26 20:00:00,Burnley,Tottenham,0,1,0,0,1,5.63,4.15,1.66,0.1714745345178976,0.23447564286334774,0.5940498226182824
2020-10-30 Wolves-Crystal Palace,2020-10-30 20:00:00,Wolves,Crystal Palace,2,0,1,0,0,2.07,3.21,4.41,0.4752103310825269,0.30455091451147914,0.2202387544055206
2020-10-31 Burnley-Chelsea,2020-10-31 15:00:00,Burnley,Chelsea,0,3,0,0,1,6.32,4.39,1.56,0.1504580689347892,0.21952433084534084,0.6300176002203438
2020-10-31 Liverpool-West Ham,2020-10-31 17:30:00,Liverpool,West Ham,2,1,1,0,0,1.4,5.32,8.03,0.7028983257268276,0.18003479404467626,0.11706688022895682
2020-10-31 Sheffield Utd-Manchester City,2020-10-31 12:30:00,Sheffield Utd,Manchester City,0,1,0,0,1,9.8,5.91,1.33,0.09572589046842764,0.16245010016041683,0.7418240093707295
2020-11-01 Aston Villa-Southampton,2020-11-01 12:00:00,Aston Villa,Southampton,3,4,0,0,1,2.53,3.72,2.81,0.3883339169830956,0.2625226094446082,0.3491434735718203
2020-11-01 Manchester Utd-Arsenal,2020-11-01 16:30:00,Manchester Utd,Arsenal,0,1,0,0,1,2.05,3.78,3.73,0.48023913722465394,0.25811644743677853,0.2616444153380888
2020-11-01 Newcastle Utd-Everton,2020-11-01 14:00:00,Newcastle Utd,Everton,2,1,1,0,0,3.82,3.56,2.09,0.25514362057017503,0.27416056551630685,0.47069581391399684
2020-11-01 Tottenham-Brighton,2020-11-01 19:15:00,Tottenham,Brighton,2,1,1,0,0,1.65,4.26,5.54,0.5975573223040421,0.22819038156761545,0.17425229612787563
2020-11-02 Fulham-West Brom,2020-11-02 17:30:00,Fulham,West Brom,2,0,1,0,0,2.47,3.4,3.13,0.39840346590300985,0.2881712325743766,0.3134253015221276
2020-11-02 Leeds United-Leicester City,2020-11-02 20:00:00,Leeds United,Leicester City,1,4,0,0,1,2.59,3.65,2.79,0.3797204591919951,0.26810960518695304,0.35216993562153137
2020-11-06 Brighton-Burnley,2020-11-06 17:30:00,Brighton,Burnley,0,0,0,1,0,1.93,3.51,4.63,0.5109536378874561,0.27881611293293085,0.2102302491791423
2020-11-06 Southampton-Newcastle Utd,2020-11-06 20:00:00,Southampton,Newcastle Utd,2,0,1,0,0,2.08,3.62,3.8,0.4733421346109605,0.2698382980016822,0.25681956738687883
2020-11-07 Chelsea-Sheffield Utd,2020-11-07 17:30:00,Chelsea,Sheffield Utd,4,1,1,0,0,1.41,5.06,8.48,0.6987128297010187,0.19022505275250454,0.11106211754603318
2020-11-07 Crystal Palace-Leeds United,2020-11-07 15:00:00,Crystal Palace,Leeds United,4,1,1,0,0,2.99,3.48,2.52,0.32826125231934977,0.2813885917326465,0.3903501559475153
2020-11-07 Everton-Manchester Utd,2020-11-07 12:30:00,Everton,Manchester Utd,1,3,0,0,1,2.98,3.65,2.44,0.3291301490118173,0.26783082675349973,0.4030390242341943
2020-11-07 West Ham-Fulham,2020-11-07 20:00:00,West Ham,Fulham,1,0,1,0,0,1.85,3.98,4.34,0.532038290506298,0.24434274990355254,0.223618959589679
2020-11-08 Arsenal-Aston Villa,2020-11-08 19:15:00,Arsenal,Aston Villa,0,3,0,0,1,1.7,4.11,5.27,0.5798297592873818,0.23671646026956167,0.18345378044258873
2020-11-08 Leicester City-Wolves,2020-11-08 14:00:00,Leicester City,Wolves,1,0,1,0,0,2.47,3.17,3.35,0.39827878925197957,0.30929570597887457,0.292425504768662
2020-11-08 Manchester City-Liverpool,2020-11-08 16:30:00,Manchester City,Liverpool,1,1,0,1,0,2.0,4.2,3.56,0.4929132800916248,0.232244132259068,0.27484258764882746
2020-11-08 West Brom-Tottenham,2020-11-08 12:00:00,West Brom,Tottenham,0,1,0,0,1,6.58,4.45,1.54,0.14453259576413027,0.21677492498021153,0.6386924792561317
2020-11-21 Aston Villa-Brighton,2020-11-21 15:00:00,Aston Villa,Brighton,1,2,0,0,1,2.24,3.69,3.28,0.43840771125376793,0.26395331157803376,0.29763897716867926
2020-11-21 Manchester Utd-West Brom,2020-11-21 20:00:00,Manchester Utd,West Brom,1,0,1,0,0,1.34,5.5,10.03,0.7342395621941079,0.1736104915051612,0.09214994630116037
2020-11-21 Newcastle Utd-Chelsea,2020-11-21 12:30:00,Newcastle Utd,Chelsea,0,2,0,0,1,6.74,4.61,1.52,0.1417580931517892,0.20989027609367542,0.6483516307540678
2020-11-21 Tottenham-Manchester City,2020-11-21 17:30:00,Tottenham,Manchester City,2,0,1,0,0,4.24,4.21,1.82,0.22883297227450877,0.23050382794096297,0.5406631997840464
2020-11-22 Fulham-Everton,2020-11-22 12:00:00,Fulham,Everton,2,3,0,0,1,4.06,3.86,1.93,0.2390222914918326,0.2517081724973329,0.5092695360103625
2020-11-22 Leeds United-Arsenal,2020-11-22 16:30:00,Leeds United,Arsenal,0,0,0,1,0,3.18,3.84,2.25,0.30814332548689705,0.2543566289461831,0.4375000455674061
2020-11-22 Liverpool-Leicester City,2020-11-22 19:15:00,Liverpool,Leicester City,3,0,1,0,0,1.88,4.08,3.84,0.5177253795585737,0.23355139456014107,0.24872322588173704
2020-11-22 Sheffield Utd-West Ham,2020-11-22 14:00:00,Sheffield Utd,West Ham,0,1,0,0,1,3.2,3.3,2.48,0.3063740358298129,0.29694872902944514,0.39667723514025466
