,,M,W,D,L,G,GA,PTS,xG,NPxG,xGA,NPxGA,NPxGD,PPDA,OPPDA,DC,ODC,xPTS
2021,Wolves,38,12,9,17,36,52,45,38.62,35.57,52.19,46.1,-10.53,14.12,11.51,139,270,44.26
2021,Crystal Palace,38,12,8,18,41,66,44,35.29,32.24,61.9,58.86,-26.62,16.14,7.6,201,272,37.95
2021,Southampton,38,12,7,19,47,68,43,45.28,40.72,58.55,51.7,-10.98,9.73,10.47,222,275,44.17
2021,Brighton,38,9,14,15,40,46,41,53.82,46.97,39.91,34.58,12.39,10.31,13.63,311,208,61.41
2021,Burnley,38,10,9,19,33,55,39,38.13,35.84,59.06,56.77,-20.93,13.16,9.72,233,332,38.1
2021,Fulham,38,5,13,20,27,53,28,41.06,36.49,57.64,52.31,-15.82,12.16,10.38,224,227,42.42
2021,West Brom,38,5,11,22,35,76,26,34.97,31.93,74.04,65.67,-33.74,15.99,7.99,164,343,29.59
2021,Sheffield Utd,38,7,2,29,20,63,23,33.16,30.11,66.11,63.06,-32.95,14.1,11.49,198,285,29.92
2122,Manchester City,38,29,6,3,99,26,93,93.4,86.32,25.21,24.45,61.87,8.52,22.92,508,138,91.88
2122,Liverpool,38,28,8,2,94,26,92,93.02,86.83,32.73,32.73,54.1,8.07,21.71,461,159,86.56
2122,Chelsea,38,21,11,6,76,33,74,69.3,62.45,35.12,30.55,31.9,8.76,16.36,385,163,73.38
2122,Tottenham,38,22,5,11,69,40,71,67.95,64.15,43.7,42.18,21.97,12.53,12.38,285,255,66.09
2122,Arsenal,38,22,3,13,61,48,69,63.39,57.19,48.39,43.82,13.37,12.55,13.94,314,220,64.76
2122,Manchester Utd,38,16,10,12,57,57,58,57.21,53.41,56.85,53.05,0.36,12.84,12.09,293,261,54.52
2122,West Ham,38,16,8,14,60,51,56,54.98,50.26,53.88,49.31,0.95,14.06,13.78,239,294,53.56
2122,Leicester City,38,14,10,14,62,59,52,49.49,47.97,66.11,59.06,-11.1,11.78,12.4,252,293,42.31
2122,Brighton,38,12,15,11,42,44,51,49.57,44.24,47.21,44.17,0.07,9.37,13.44,305,244,54.18
2122,Wolves,38,15,6,17,38,43,51,39.04,38.28,58.48,50.87,-12.59,14.64,11.32,181,309,40.54
2122,Newcastle Utd,38,13,10,15,44,62,49,41.53,39.24,62.71,57.99,-18.75,13.8,7.85,170,293,41.53
2122,Crystal Palace,38,11,15,12,50,46,48,48.84,42.66,41.33,38.29,4.38,11.38,9.56,213,238,58.15
2122,Brentford,38,13,7,18,48,56,46,52.89,48.32,49.5,45.69,2.63,11.66,10.2,232,226,56.0
2122,Aston Villa,38,13,6,19,52,54,45,43.13,40.85,53.1,48.42,-7.57,12.91,8.93,258,258,46.2
2122,Southampton,38,9,13,16,43,67,40,47.35,44.3,64.56,63.04,-18.73,10.5,9.55,209,286,43.45
2122,Everton,38,11,6,21,43,66,39,44.47,39.14,60.69,59.17,-20.03,14.03,7.83,190,299,43.54
2122,Leeds United,38,9,11,18,42,79,38,51.19,47.38,71.31,67.5,-20.12,8.58,11.34,239,300,43.86
2122,Burnley,38,7,14,17,34,53,35,41.11,39.58,60.22,56.42,-16.83,12.89,9.5,184,316,38.1
2122,Watford,38,6,5,27,34,77,23,39.34,37.82,67.53,62.21,-24.39,14.27,7.62,159,339,35.45
2122,Norwich City,38,5,7,26,23,84,22,31.51,29.23,80.08,70.72,-41.49,15.33,9.35,188,374,25.04
2223,Manchester City,38,28,5,5,94,33,89,84.32,76.71,34.21,31.92,44.78,10.33,22.32,450,154,83.04
2223,Arsenal,38,26,6,6,88,43,84,76.51,73.47,45.16,41.36,32.11,9.55,14.36,452,199,72.53
2223,Manchester Utd,38,23,6,9,58,43,75,71.9,69.62,50.29,48.0,21.61,11.52,13.66,391,253,66.4
2223,Newcastle Utd,38,19,14,5,68,33,71,76.98,72.41,41.86,38.05,34.36,9.19,10.66,376,215,71.67
2223,Liverpool,38,19,10,9,75,47,67,80.77,77.73,55.77,52.73,25.0,8.83,19.1,419,209,67.37
2223,Brighton,38,18,8,12,72,53,62,77.72,73.16,50.15,43.98,29.18,8.93,15.01,362,231,70.86
2223,Aston Villa,38,18,7,13,51,46,61,50.0,46.95,53.96,49.24,-2.29,11.78,9.56,258,237,54.37
2223,Tottenham,38,18,6,14,70,63,60,57.83,53.27,51.66,48.62,4.65,12.65,12.73,239,280,57.6
2223,Brentford,38,15,14,9,58,46,59,59.23,53.14,51.45,49.93,3.21,11.31,9.78,231,301,58.26
2223,Fulham,38,15,7,16,55,53,52,47.98,41.13,71.49,65.31,-24.18,12.96,10.43,203,286,39.24
2223,Crystal Palace,38,11,12,15,40,49,45,40.72,38.3,51.63,48.58,-10.29,13.05,8.67,197,311,44.24
2223,Chelsea,38,11,11,16,38,47,44,51.89,49.61,54.02,53.26,-3.65,9.1,13.33,322,214,52.28
2223,Wolves,38,11,8,19,31,58,41,35.13,32.84,62.68,59.64,-26.79,11.99,11.3,192,301,35.01
2223,West Ham,38,11,7,20,42,55,40,51.21,45.12,55.31,50.75,-5.62,15.96,11.11,173,285,51.62
2223,Bournemouth,38,11,6,21,37,71,39,40.08,40.08,67.6,62.27,-22.19,15.78,8.81,200,383,34.73
2223,Nott'ham Forest,38,9,11,18,38,68,38,39.57,35.01,68.46,61.61,-26.6,16.48,8.02,157,390,35.05
2223,Everton,38,8,12,18,34,57,36,48.65,46.37,68.58,64.02,-17.65,13.65,9.62,197,309,40.71
2223,Leicester City,38,9,7,22,51,68,34,48.99,44.33,59.79,55.98,-11.65,12.02,12.67,205,289,45.07
2223,Leeds United,38,7,10,21,48,78,31,47.8,45.51,69.58,65.01,-19.5,9.48,9.02,230,267,40.58
2223,Southampton,38,6,7,25,36,73,25,39.27,36.13,62.9,60.62,-24.48,12.37,8.4,199,339,36.47
