key,opponent,team,date,time,round,day,venue,result,gf,ga,target,venue_code,goalie,defs,mids,atks,offdeff,intensity,dirspeed,deads,press,contra,buildup,progress,carr,wings,agresive,deferror,offsucc,goalie_opo,defs_opo,mids_opo,atks_opo,offdeff_opo,intensity_opo,dirspeed_opo,deads_opo,press_opo,contra_opo,buildup_opo,progress_opo,carr_opo,wings_opo,agresive_opo,deferror_opo,offsucc_opo,goalie_diff,defs_diff,mids_diff,atks_diff,offdeff_diff,intensity_diff,dirspeed_diff,deads_diff,press_diff,contra_diff,buildup_diff,progress_diff,carr_diff,wings_diff,agresive_diff,deferror_diff,offsucc_diff
2020-01-11 Crystal Palace-Arsenal,Arsenal,Crystal Palace,2020-01-11,12:30:00,Matchweek 22,Sat,Home,D,1,1,0,1,0.4,0.65,0.425,0.45,0.25,0.35,0.45,0.65,0.25,0.4,0.6,0.9,0.9,0.6,1.0,0.35,0.45,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.44999999999999996,0.15000000000000002,-0.425,-0.45,-0.25,-0.45000000000000007,0.2,0.4,-0.5,-0.29999999999999993,-0.15000000000000002,0.35,0.5,0.5499999999999999,0.35,0.04999999999999999,-0.35000000000000003
2019-12-21 Everton-Arsenal,Arsenal,Everton,2019-12-21,12:30:00,Matchweek 18,Sat,Home,D,0,0,0,1,0.7,0.75,0.55,0.7,0.65,0.6,0.6,0.75,0.9,0.75,0.35,0.85,0.25,0.65,0.7,0.5,0.65,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.15000000000000002,0.25,-0.29999999999999993,-0.20000000000000007,0.15000000000000002,-0.20000000000000007,0.35,0.5,0.15000000000000002,0.050000000000000044,-0.4,0.29999999999999993,-0.15000000000000002,0.6,0.04999999999999993,0.2,-0.15000000000000002
2020-02-23 Everton-Arsenal,Arsenal,Everton,2020-02-23,16:30:00,Matchweek 27,Sun,Away,L,2,3,0,0,0.7,0.75,0.55,0.7,0.65,0.6,0.6,0.75,0.9,0.75,0.35,0.85,0.25,0.65,0.7,0.5,0.65,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.15000000000000002,0.25,-0.29999999999999993,-0.20000000000000007,0.15000000000000002,-0.20000000000000007,0.35,0.5,0.15000000000000002,0.050000000000000044,-0.4,0.29999999999999993,-0.15000000000000002,0.6,0.04999999999999993,0.2,-0.15000000000000002
2019-11-09 Leicester City-Arsenal,Arsenal,Leicester City,2019-11-09,17:30:00,Matchweek 12,Sat,Home,W,2,0,1,1,0.2,0.8,0.65,0.25,0.6,0.65,0.3,0.45,0.7,0.9,0.55,0.7,0.7,0.95,0.55,0.4,0.6,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.6499999999999999,0.30000000000000004,-0.19999999999999996,-0.65,0.09999999999999998,-0.15000000000000002,0.04999999999999999,0.2,-0.050000000000000044,0.20000000000000007,-0.19999999999999996,0.1499999999999999,0.29999999999999993,0.8999999999999999,-0.09999999999999998,0.10000000000000003,-0.20000000000000007
2020-07-07 Leicester City-Arsenal,Arsenal,Leicester City,2020-07-07,20:15:00,Matchweek 34,Tue,Away,D,1,1,0,0,0.2,0.8,0.65,0.25,0.6,0.65,0.3,0.45,0.7,0.9,0.55,0.7,0.7,0.95,0.55,0.4,0.6,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.6499999999999999,0.30000000000000004,-0.19999999999999996,-0.65,0.09999999999999998,-0.15000000000000002,0.04999999999999999,0.2,-0.050000000000000044,0.20000000000000007,-0.19999999999999996,0.1499999999999999,0.29999999999999993,0.8999999999999999,-0.09999999999999998,0.10000000000000003,-0.20000000000000007
2019-08-24 Liverpool-Arsenal,Arsenal,Liverpool,2019-08-24,17:30:00,Matchweek 3,Sat,Home,W,3,1,1,1,0.95,0.95,0.95,1.0,0.9,0.9,0.15,0.15,0.95,0.8,0.9,0.2,0.2,0.15,0.9,0.1,0.95,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,0.09999999999999998,0.44999999999999996,0.09999999999999998,0.09999999999999998,0.4,0.09999999999999998,-0.1,-0.1,0.19999999999999996,0.10000000000000009,0.15000000000000002,-0.35000000000000003,-0.2,0.09999999999999999,0.25,-0.19999999999999998,0.1499999999999999
2020-07-15 Liverpool-Arsenal,Arsenal,Liverpool,2020-07-15,20:15:00,Matchweek 36,Wed,Away,L,1,2,0,0,0.95,0.95,0.95,1.0,0.9,0.9,0.15,0.15,0.95,0.8,0.9,0.2,0.2,0.15,0.9,0.1,0.95,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,0.09999999999999998,0.44999999999999996,0.09999999999999998,0.09999999999999998,0.4,0.09999999999999998,-0.1,-0.1,0.19999999999999996,0.10000000000000009,0.15000000000000002,-0.35000000000000003,-0.2,0.09999999999999999,0.25,-0.19999999999999998,0.1499999999999999
2019-12-15 Manchester City-Arsenal,Arsenal,Manchester City,2019-12-15,16:30:00,Matchweek 17,Sun,Away,W,3,0,1,0,0.8,1.0,1.0,0.85,1.0,1.0,0.05,0.05,1.0,0.65,0.95,0.35,0.95,0.3,0.35,0.05,0.75,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.04999999999999993,0.5,0.15000000000000002,-0.050000000000000044,0.5,0.19999999999999996,-0.2,-0.2,0.25,-0.04999999999999993,0.19999999999999996,-0.20000000000000007,0.5499999999999999,0.25,-0.30000000000000004,-0.25,-0.050000000000000044
2020-06-17 Manchester City-Arsenal,Arsenal,Manchester City,2020-06-17,20:15:00,Matchweek 28,Wed,Home,W,3,0,1,1,0.8,1.0,1.0,0.85,1.0,1.0,0.05,0.05,1.0,0.65,0.95,0.35,0.95,0.3,0.35,0.05,0.75,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.04999999999999993,0.5,0.15000000000000002,-0.050000000000000044,0.5,0.19999999999999996,-0.2,-0.2,0.25,-0.04999999999999993,0.19999999999999996,-0.20000000000000007,0.5499999999999999,0.25,-0.30000000000000004,-0.25,-0.050000000000000044
2019-09-30 Manchester Utd-Arsenal,Arsenal,Manchester Utd,2019-09-30,20:00:00,Matchweek 7,Mon,Home,D,1,1,0,1,0.55,0.6,0.9,0.8,0.85,0.75,0.55,0.3,0.65,1.0,0.7,0.45,0.55,0.2,0.75,0.25,0.55,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.29999999999999993,0.09999999999999998,0.050000000000000044,-0.09999999999999998,0.35,-0.050000000000000044,0.30000000000000004,0.04999999999999999,-0.09999999999999998,0.30000000000000004,-0.050000000000000044,-0.10000000000000003,0.15000000000000002,0.15000000000000002,0.09999999999999998,-0.04999999999999999,-0.25
2020-01-01 Manchester Utd-Arsenal,Arsenal,Manchester Utd,2020-01-01,20:00:00,Matchweek 21,Wed,Away,L,0,2,0,0,0.55,0.6,0.9,0.8,0.85,0.75,0.55,0.3,0.65,1.0,0.7,0.45,0.55,0.2,0.75,0.25,0.55,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.29999999999999993,0.09999999999999998,0.050000000000000044,-0.09999999999999998,0.35,-0.050000000000000044,0.30000000000000004,0.04999999999999999,-0.09999999999999998,0.30000000000000004,-0.050000000000000044,-0.10000000000000003,0.15000000000000002,0.15000000000000002,0.09999999999999998,-0.04999999999999999,-0.25
2019-08-11 Newcastle Utd-Arsenal,Arsenal,Newcastle Utd,2019-08-11,14:00:00,Matchweek 1,Sun,Home,L,0,1,0,1,0.35,0.55,0.15,0.55,0.1,0.15,0.85,0.9,0.15,0.6,0.15,0.05,0.5,1.0,0.15,0.55,0.15,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.5,0.050000000000000044,-0.7,-0.35,-0.4,-0.65,0.6,0.65,-0.6,-0.09999999999999998,-0.6,-0.5,0.09999999999999998,0.95,-0.5,0.25000000000000006,-0.65
2020-02-16 Newcastle Utd-Arsenal,Arsenal,Newcastle Utd,2020-02-16,16:30:00,Matchweek 26,Sun,Away,L,0,4,0,0,0.35,0.55,0.15,0.55,0.1,0.15,0.85,0.9,0.15,0.6,0.15,0.05,0.5,1.0,0.15,0.55,0.15,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.5,0.050000000000000044,-0.7,-0.35,-0.4,-0.65,0.6,0.65,-0.6,-0.09999999999999998,-0.6,-0.5,0.09999999999999998,0.95,-0.5,0.25000000000000006,-0.65
2019-12-01 Norwich City-Arsenal,Arsenal,Norwich City,2019-12-01,14:00:00,Matchweek 14,Sun,Home,D,2,2,0,1,0.2,0.1,0.15,0.1,0.05,0.6,0.3,0.5,0.4,0.55,0.8,0.05,0.9,0.05,0.3,0.7,0.05,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.6499999999999999,-0.4,-0.7,-0.8,-0.45,-0.20000000000000007,0.04999999999999999,0.25,-0.35,-0.1499999999999999,0.050000000000000044,-0.5,0.5,0.0,-0.35000000000000003,0.39999999999999997,-0.75
2020-07-01 Norwich City-Arsenal,Arsenal,Norwich City,2020-07-01,18:00:00,Matchweek 32,Wed,Away,L,0,4,0,0,0.2,0.1,0.15,0.1,0.05,0.6,0.3,0.5,0.4,0.55,0.8,0.05,0.9,0.05,0.3,0.7,0.05,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.6499999999999999,-0.4,-0.7,-0.8,-0.45,-0.20000000000000007,0.04999999999999999,0.25,-0.35,-0.1499999999999999,0.050000000000000044,-0.5,0.5,0.0,-0.35000000000000003,0.39999999999999997,-0.75
2020-01-18 Sheffield Utd-Arsenal,Arsenal,Sheffield Utd,2020-01-18,15:00:00,Matchweek 23,Sat,Away,D,1,1,0,0,1.0,0.6,0.2,0.25,0.85,0.4,0.95,0.6,0.2,0.05,0.15,1.0,0.05,1.0,0.45,0.1,0.8,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,0.15000000000000002,0.09999999999999998,-0.6499999999999999,-0.65,0.35,-0.4,0.7,0.35,-0.55,-0.6499999999999999,-0.6,0.44999999999999996,-0.35000000000000003,0.95,-0.2,-0.19999999999999998,0.0
2019-11-23 Southampton-Arsenal,Arsenal,Southampton,2019-11-23,15:00:00,Matchweek 13,Sat,Away,D,2,2,0,0,0.15,0.45,0.35,0.3,0.75,0.25,0.65,0.6,0.55,0.45,0.45,0.95,0.3,0.8,0.45,0.6,0.25,0.85,0.5,0.85,0.9,0.5,0.8,0.25,0.25,0.75,0.7,0.75,0.55,0.4,0.05,0.65,0.3,0.8,-0.7,-0.04999999999999999,-0.5,-0.6000000000000001,0.25,-0.55,0.4,0.35,-0.19999999999999996,-0.24999999999999994,-0.3,0.3999999999999999,-0.10000000000000003,0.75,-0.2,0.3,-0.55
