key,opponent,team,date,time,round,day,venue,result,gf,ga,target,venue_code,AvgH,AvgD,AvgA,pAvgH,pAvgD,pAvgA,goalie,defs,mids,atks,offdeff,intensity,dirspeed,deads,press,contra,buildup,progress,carr,wings,agresive,deferror,offsucc,goalie_opo,defs_opo,mids_opo,atks_opo,offdeff_opo,intensity_opo,dirspeed_opo,deads_opo,press_opo,contra_opo,buildup_opo,progress_opo,carr_opo,wings_opo,agresive_opo,deferror_opo,offsucc_opo,goalie_diff,defs_diff,mids_diff,atks_diff,offdeff_diff,intensity_diff,dirspeed_diff,deads_diff,press_diff,contra_diff,buildup_diff,progress_diff,carr_diff,wings_diff,agresive_diff,deferror_diff,offsucc_diff
2022-05-11 Leicester City-Norwich City,Norwich City,Leicester City,2022-05-11,19:45:00,Matchweek 21,Wed,Home,W,3,0,1,1,1.44,4.9,7.02,0.679197756015628,0.2040610387051335,0.11674120527884063,0.2,0.7,0.8,0.85,0.5,0.75,0.65,0.3,0.8,0.75,0.7,0.35,0.4,0.15,0.85,0.15,0.85,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,0.05000000000000002,0.6499999999999999,0.75,0.7999999999999999,0.45,0.5,0.25,-0.5,0.75,0.65,0.39999999999999997,0.14999999999999997,-0.44999999999999996,-0.5499999999999999,0.75,-0.30000000000000004,0.7999999999999999
2021-08-14 Liverpool-Norwich City,Norwich City,Liverpool,2021-08-14,17:30:00,Matchweek 1,Sat,Away,W,3,0,1,0,1.33,5.71,8.78,0.7320418279060864,0.17290633411240114,0.09505183798117735,0.95,0.775,0.95,0.375,0.95,0.95,0.2,0.15,0.95,0.5,0.95,0.55,0.25,0.4,0.55,0.45,0.8,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,0.7999999999999999,0.725,0.8999999999999999,0.325,0.8999999999999999,0.7,-0.2,-0.65,0.8999999999999999,0.4,0.6499999999999999,0.35000000000000003,-0.6,-0.29999999999999993,0.45000000000000007,0.0,0.75
2022-02-19 Liverpool-Norwich City,Norwich City,Liverpool,2022-02-19,15:00:00,Matchweek 26,Sat,Home,W,3,1,1,1,1.12,9.63,24.83,0.8792825362562643,0.0925963525563511,0.028121111187218637,0.95,0.775,0.95,0.375,0.95,0.95,0.2,0.15,0.95,0.5,0.95,0.55,0.25,0.4,0.55,0.45,0.8,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,0.7999999999999999,0.725,0.8999999999999999,0.325,0.8999999999999999,0.7,-0.2,-0.65,0.8999999999999999,0.4,0.6499999999999999,0.35000000000000003,-0.6,-0.29999999999999993,0.45000000000000007,0.0,0.75
2021-08-21 Manchester City-Norwich City,Norwich City,Manchester City,2021-08-21,15:00:00,Matchweek 2,Sat,Home,W,5,0,1,1,1.11,10.58,25.64,0.8955289346099397,0.08123737990203073,0.02323368548794218,0.8,1.0,1.0,1.0,1.0,1.0,0.05,0.05,0.75,0.35,1.0,0.4,0.9,0.1,0.45,0.3,0.9,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,0.65,0.95,0.95,0.95,0.95,0.75,-0.35000000000000003,-0.75,0.7,0.24999999999999997,0.7,0.2,0.050000000000000044,-0.6,0.35,-0.15000000000000002,0.85
2022-02-12 Manchester City-Norwich City,Norwich City,Manchester City,2022-02-12,17:30:00,Matchweek 25,Sat,Away,W,4,0,1,0,1.17,7.86,18.09,0.8415021780107675,0.10754114717127525,0.05095667481828111,0.8,1.0,1.0,1.0,1.0,1.0,0.05,0.05,0.75,0.35,1.0,0.4,0.9,0.1,0.45,0.3,0.9,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,0.65,0.95,0.95,0.95,0.95,0.75,-0.35000000000000003,-0.75,0.7,0.24999999999999997,0.7,0.2,0.050000000000000044,-0.6,0.35,-0.15000000000000002,0.85
2021-12-11 Manchester Utd-Norwich City,Norwich City,Manchester Utd,2021-12-11,17:30:00,Matchweek 16,Sat,Away,W,1,0,1,0,1.45,4.73,7.25,0.667601228062045,0.20760800714485864,0.12479076479347612,0.5,0.85,0.85,0.9,0.9,0.85,0.1,0.25,0.7,0.85,0.85,0.7,0.55,0.5,0.5,0.4,1.0,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,0.35,0.7999999999999999,0.7999999999999999,0.85,0.85,0.6,-0.30000000000000004,-0.55,0.6499999999999999,0.75,0.55,0.49999999999999994,-0.29999999999999993,-0.19999999999999996,0.4,-0.04999999999999999,0.95
2022-04-16 Manchester Utd-Norwich City,Norwich City,Manchester Utd,2022-04-16,15:00:00,Matchweek 33,Sat,Home,W,3,2,1,1,1.24,6.45,12.84,0.7788851133494932,0.15405775238535074,0.06705713426551499,0.5,0.85,0.85,0.9,0.9,0.85,0.1,0.25,0.7,0.85,0.85,0.7,0.55,0.5,0.5,0.4,1.0,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,0.35,0.7999999999999999,0.7999999999999999,0.85,0.85,0.6,-0.30000000000000004,-0.55,0.6499999999999999,0.75,0.55,0.49999999999999994,-0.29999999999999993,-0.19999999999999996,0.4,-0.04999999999999999,0.95
2021-11-30 Newcastle Utd-Norwich City,Norwich City,Newcastle Utd,2021-11-30,19:30:00,Matchweek 14,Tue,Home,D,1,1,0,1,1.99,3.63,3.82,0.49149023735925224,0.25972890230434553,0.24878086033685431,0.25,0.15,0.4,0.55,0.05,0.1,0.85,0.95,0.05,0.55,0.15,0.3,0.8,1.0,0.05,0.7,0.3,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,0.1,0.09999999999999999,0.35000000000000003,0.5,0.0,-0.15,0.44999999999999996,0.1499999999999999,0.0,0.45000000000000007,-0.15,0.09999999999999998,-0.04999999999999993,0.30000000000000004,-0.05,0.24999999999999994,0.25
2022-04-23 Newcastle Utd-Norwich City,Norwich City,Newcastle Utd,2022-04-23,15:00:00,Matchweek 34,Sat,Away,W,3,0,1,0,2.18,3.33,3.55,0.4441979678225497,0.3036730463248452,0.25212898585305044,0.25,0.15,0.4,0.55,0.05,0.1,0.85,0.95,0.05,0.55,0.15,0.3,0.8,1.0,0.05,0.7,0.3,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,0.1,0.09999999999999999,0.35000000000000003,0.5,0.0,-0.15,0.44999999999999996,0.1499999999999999,0.0,0.45000000000000007,-0.15,0.09999999999999998,-0.04999999999999993,0.30000000000000004,-0.05,0.24999999999999994,0.25
2021-11-20 Southampton-Norwich City,Norwich City,Southampton,2021-11-20,15:00:00,Matchweek 12,Sat,Away,L,1,2,0,0,2.1,3.46,3.63,0.46594333248053516,0.2750742242340377,0.25898244328585307,0.15,0.35,0.35,0.8,0.4,0.5,0.8,0.65,0.9,0.6,0.75,0.1,0.85,0.05,1.0,0.8,0.2,0.15,0.05,0.05,0.05,0.05,0.25,0.4,0.8,0.05,0.1,0.3,0.2,0.85,0.7,0.1,0.45,0.05,0.0,0.3,0.3,0.75,0.35000000000000003,0.25,0.4,-0.15000000000000002,0.85,0.5,0.45,-0.1,0.0,-0.6499999999999999,0.9,0.35000000000000003,0.15000000000000002
